_RAJ2000,_DEJ2000,_tabname,_ID,_tab1_31,_tab1_32,sed_freq,sed_flux,sed_eflux,sed_filter,wl
290.2633222,44.55655,I/297/out,"NOMAD1===1345-0338433&-c=290.2633222 +44.5565500,eq=J2000&-c.rs=",,0.0,181750.0,0.00277,,2MASS:H,1.6506189821182944
290.2633222,44.55655,I/297/out,"NOMAD1===1345-0338433&-c=290.2633222 +44.5565500,eq=J2000&-c.rs=",,0.0,241960.0,0.00312,,2MASS:J,1.2398743593982477
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,382540.0,0.00372,0.00151,POSS-II:i,0.7842317143305275
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,468430.0,0.00281,0.00111,POSS-II:F,0.6404372051320368
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,640580.0,0.00146,0.00061,POSS-II:J,0.4683255799431765
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.00153,0.00064,Johnson:B,0.44451029782189955
290.26328492,44.55644596,I/317/sample,"PPMXL= 153626708865424454&-c=290.263285 +44.556446,eq=J2000&-c.r",,0.0,138550.0,0.00196,8e-05,2MASS:Ks,2.165283291230603
290.26328492,44.55644596,I/317/sample,"PPMXL= 153626708865424454&-c=290.263285 +44.556446,eq=J2000&-c.r",,0.0,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.26328492,44.55644596,I/317/sample,"PPMXL= 153626708865424454&-c=290.263285 +44.556446,eq=J2000&-c.r",,0.0,241960.0,0.00312,6e-05,2MASS:J,1.2398743593982477
290.26328397,44.55644798,I/319/xpm,"-c=290.263284 +44.556448,eq=ICRS&-c.rs=0.004",,0.0,138550.0,0.00196,8e-05,2MASS:Ks,2.165283291230603
290.26328397,44.55644798,I/319/xpm,"-c=290.263284 +44.556448,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.26328397,44.55644798,I/319/xpm,"-c=290.263284 +44.556448,eq=ICRS&-c.rs=0.004",,0.0,241960.0,0.00311,6e-05,2MASS:J,1.2398743593982477
290.2632777,44.5564475,I/322A/out,"UCAC4===673-073172&-c=290.2632777 +44.5564475,eq=J2000&-c.rs=0.0",,0.0,138550.0,0.00196,7e-05,2MASS:Ks,2.165283291230603
290.2632777,44.5564475,I/322A/out,"UCAC4===673-073172&-c=290.2632777 +44.5564475,eq=J2000&-c.rs=0.0",,0.0,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.2632777,44.5564475,I/322A/out,"UCAC4===673-073172&-c=290.2632777 +44.5564475,eq=J2000&-c.rs=0.0",,0.0,241960.0,0.00312,6e-05,2MASS:J,1.2398743593982477
290.26330709,44.55644703,I/327/cmc15,"-c=290.263307 +44.556447,eq=ICRS&-c.rs=0.004",,,138550.0,0.00196,,2MASS:Ks,2.165283291230603
290.26330709,44.55644703,I/327/cmc15,"-c=290.263307 +44.556447,eq=ICRS&-c.rs=0.004",,,181750.0,0.00276,,2MASS:H,1.6506189821182944
290.26330709,44.55644703,I/327/cmc15,"-c=290.263307 +44.556447,eq=ICRS&-c.rs=0.004",,,241960.0,0.00311,,2MASS:J,1.2398743593982477
290.263288020983,44.556406284149,I/337/gaia,"-c=290.2632880210 +44.5564062841,eq=ICRS&-c.rs=0.004",,,445460.0,0.00232,,Gaia:G,0.6734611412921474
290.2632998873,44.5564397715,I/339/hsoy,"-c=290.2632998873 +44.5564397715,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.2632998873,44.5564397715,I/339/hsoy,"-c=290.2632998873 +44.5564397715,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.00312,6e-05,2MASS:J,1.2398743593982477
290.2632998873,44.5564397715,I/339/hsoy,"-c=290.2632998873 +44.5564397715,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.00232,0.0,Gaia:G,0.6734611412921474
290.263298045,44.556444263,I/340/ucac5,"-c=290.2632958 +44.5564356,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.00277,,2MASS:H,1.6506189821182944
290.263298045,44.556444263,I/340/ucac5,"-c=290.2632958 +44.5564356,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.00312,,2MASS:J,1.2398743593982477
290.263298045,44.556444263,I/340/ucac5,"-c=290.2632958 +44.5564356,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.00232,,Gaia:G,0.6734611412921474
290.263282049,44.556547279,I/342/f3,recno=16067546,,0.0,674900.0,0.00238,0.00071,Johnson:B,0.44451029782189955
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,138550.0,0.00196,8e-05,2MASS:Ks,2.165283291230603
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,241960.0,0.00311,5e-05,2MASS:J,1.2398743593982477
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,312400.0,0.00195,0.0,PAN-STARRS/PS1:y,0.9603072983354674
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,400800.0,0.00216,0.0,PAN-STARRS/PS1:i,0.7485029940119761
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,445460.0,0.00232,0.0,Gaia:G,0.6734611412921474
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,489400.0,0.00231,0.0,PAN-STARRS/PS1:r,0.6129955046996322
290.26328285595,44.55646590944,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,628200.0,0.00193,1e-05,PAN-STARRS/PS1:g,0.4775549188156638
290.2633078750761,44.556443925379,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,388100.0,0.00302,1e-05,GAIA/GAIA2:Grp,0.7729966503478485
290.2633078750761,44.556443925379,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,481500.0,0.00234,0.0,GAIA/GAIA2:G,0.6230529595015576
290.2633078750761,44.556443925379,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.00179,0.0,GAIA/GAIA2:Gbp,0.504965494024575
290.2633077362002,44.5564439202986,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,393400.0,0.00297,1e-05,GAIA/GAIA3:Grp,0.762582613116421
290.2633077362002,44.5564439202986,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.00231,1e-05,GAIA/GAIA3:G,0.5826374053214216
290.2633077362002,44.5564439202986,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.00183,1e-05,GAIA/GAIA3:Gbp,0.5039475894506972
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,13571.0,0.00173,,WISE:W4,22.105961240881292
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,25934.0,0.000162,,WISE:W3,11.56782601989666
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,65172.0,0.000503,1.4e-05,WISE:W2,4.603203829865587
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,89490.0,0.000886,2e-05,WISE:W1,3.352329869259135
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,138550.0,0.00196,8e-05,2MASS:Ks,2.165283291230603
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,181750.0,0.00276,8e-05,2MASS:H,1.6506189821182944
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,241960.0,0.00311,6e-05,2MASS:J,1.2398743593982477
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,332440.0,0.00313,1e-05,SDSS:z,0.9024184815305017
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,392660.0,0.00304,1e-05,SDSS:i,0.7640197626445271
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,445460.0,0.00152,0.0,Gaia:G,0.6734611412921474
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,445460.0,0.00348,1e-05,Gaia:G,0.6734611412921474
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,445460.0,0.00214,0.0,Gaia:G,0.6734611412921474
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,479900.0,0.00267,0.0,SDSS:r,0.625130235465722
290.2633078750753,44.5564439253783,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,621980.0,0.00179,1e-05,SDSS:g,0.48233062156339435
290.2633077362002,44.5564439202986,I/355/gaiadr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,393400.0,0.00297,1e-05,GAIA/GAIA3:Grp,0.762582613116421
290.2633077362002,44.5564439202986,I/355/gaiadr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.00231,1e-05,GAIA/GAIA3:G,0.5826374053214216
290.2633077362002,44.5564439202986,I/355/gaiadr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.00183,1e-05,GAIA/GAIA3:Gbp,0.5039475894506972
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,380160.0,0.00316,,Cousins:I,0.7891414141414141
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,392660.0,0.00329,,SDSS:i,0.7640197626445271
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,392660.0,0.00311,,SDSS:i,0.7640197626445271
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,463430.0,0.0027,,Cousins:R,0.6473469563903934
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,479900.0,0.00269,,SDSS:r,0.625130235465722
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,548100.0,0.00222,,Cousins:V,0.5473453749315819
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,621980.0,0.00173,,SDSS:g,0.48233062156339435
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,687600.0,0.00139,,Cousins:B,0.4363001745200698
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,851920.0,0.000492,,SDSS:u,0.35214574138416754
290.2632867531304,44.5564038923655,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,856500.0,0.000505,,Cousins:U,0.3502626970227671
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,136890.0,0.00177,0.00017,Johnson:K,2.1915406530791146
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,136890.0,0.0019,8e-05,Johnson:K,2.1915406530791146
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,183920.0,0.00272,0.00012,Johnson:H,1.6311439756415833
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,183920.0,0.00274,8e-05,Johnson:H,1.6311439756415833
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,239830.0,0.00321,8e-05,Johnson:J,1.250886044281366
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,239830.0,0.00318,6e-05,Johnson:J,1.250886044281366
290.26331806,44.55644035,II/311/wise,"WISE===J192103.19+443323.1&-c=290.263318 +44.556440,eq=J2000&-c.",,0.0,13571.0,0.00116,,WISE:W4,22.105961240881292
290.26331806,44.55644035,II/311/wise,"WISE===J192103.19+443323.1&-c=290.263318 +44.556440,eq=J2000&-c.",,0.0,25934.0,0.000175,,WISE:W3,11.56782601989666
