_RAJ2000,_DEJ2000,_tabname,_ID,_tab15_64,_tab15_65,sed_freq,sed_flux,sed_eflux,sed_filter,wl
155.8719055873,-43.8350076117,I/239/tyc_main,recno=807265,,0.0,541430.0,0.3,,Johnson:V,0.5540882477882644
155.8719055873,-43.8350076117,I/239/tyc_main,recno=807265,,0.0,563630.0,0.283,0.009,HIP:VT,0.532264073949222
155.8719055873,-43.8350076117,I/239/tyc_main,recno=807265,,0.0,713280.0,0.116,0.006,HIP:BT,0.4205921938088829
155.8718804136,-43.8349584618,I/280B/ascc,recno=1942999,,0.0,138550.0,0.426,0.011,2MASS:Ks,2.165283291230603
155.8718804136,-43.8349584618,I/280B/ascc,recno=1942999,,0.0,181750.0,0.624,0.016,2MASS:H,1.6506189821182944
155.8718804136,-43.8349584618,I/280B/ascc,recno=1942999,,0.0,241960.0,0.61,0.013,2MASS:J,1.2398743593982477
155.8718808,-43.8349622,I/297/out,"NOMAD1===0461-0218822&-c=155.8718808 -43.8349622,eq=J2000&-c.rs=",,0.0,181750.0,0.623,,2MASS:H,1.6506189821182944
155.8718808,-43.8349622,I/297/out,"NOMAD1===0461-0218822&-c=155.8718808 -43.8349622,eq=J2000&-c.rs=",,0.0,241960.0,0.61,,2MASS:J,1.2398743593982477
155.87188,-43.834957,I/305/out,"GSC2.3===S5Q1000028&-c=155.871880 -43.834957,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.12,0.006,Johnson:B,0.44451029782189955
155.87188411,-43.83496404,I/317/sample,"PPMXL=6076415239832426252&-c=155.871884 -43.834964,eq=J2000&-c.r",,0.0,138550.0,0.426,0.011,2MASS:Ks,2.165283291230603
155.87188411,-43.83496404,I/317/sample,"PPMXL=6076415239832426252&-c=155.871884 -43.834964,eq=J2000&-c.r",,0.0,181750.0,0.623,0.017,2MASS:H,1.6506189821182944
155.87188411,-43.83496404,I/317/sample,"PPMXL=6076415239832426252&-c=155.871884 -43.834964,eq=J2000&-c.r",,0.0,241960.0,0.61,0.013,2MASS:J,1.2398743593982477
155.87184691,-43.83498204,I/319/xpm,"-c=155.871847 -43.834982,eq=ICRS&-c.rs=0.004",,0.0,138550.0,0.426,0.011,2MASS:Ks,2.165283291230603
155.87184691,-43.83498204,I/319/xpm,"-c=155.871847 -43.834982,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.623,0.017,2MASS:H,1.6506189821182944
155.87184691,-43.83498204,I/319/xpm,"-c=155.871847 -43.834982,eq=ICRS&-c.rs=0.004",,0.0,241960.0,0.61,0.013,2MASS:J,1.2398743593982477
155.8718573,-43.8349472,I/320/spm4,"-c=155.8718573 -43.8349472,eq=J2000&-c.rs=0.004",,,138550.0,0.426,,2MASS:Ks,2.165283291230603
155.8718573,-43.8349472,I/320/spm4,"-c=155.8718573 -43.8349472,eq=J2000&-c.rs=0.004",,,181750.0,0.623,,2MASS:H,1.6506189821182944
155.8718573,-43.8349472,I/320/spm4,"-c=155.8718573 -43.8349472,eq=J2000&-c.rs=0.004",,,241960.0,0.61,,2MASS:J,1.2398743593982477
155.8718573,-43.8349472,I/320/spm4,"-c=155.8718573 -43.8349472,eq=J2000&-c.rs=0.004",,,541430.0,0.306,,Johnson:V,0.5540882477882644
155.8718573,-43.8349472,I/320/spm4,"-c=155.8718573 -43.8349472,eq=J2000&-c.rs=0.004",,,674900.0,0.152,,Johnson:B,0.44451029782189955
155.8718821,-43.8349667,I/322A/out,"UCAC4===231-047613&-c=155.8718821 -43.8349667,eq=J2000&-c.rs=0.0",,0.0,138550.0,0.426,0.012,2MASS:Ks,2.165283291230603
155.8718821,-43.8349667,I/322A/out,"UCAC4===231-047613&-c=155.8718821 -43.8349667,eq=J2000&-c.rs=0.0",,0.0,181750.0,0.623,0.017,2MASS:H,1.6506189821182944
155.8718821,-43.8349667,I/322A/out,"UCAC4===231-047613&-c=155.8718821 -43.8349667,eq=J2000&-c.rs=0.0",,0.0,241960.0,0.61,0.011,2MASS:J,1.2398743593982477
155.871878564883,-43.834957232726,I/337/gaia,"-c=155.8719358557 -43.8349257115,eq=ICRS&-c.rs=0.004",,,445460.0,0.339,,Gaia:G,0.6734611412921474
155.871878566314,-43.834957232319,I/337/tgasptyc,recno=1495847,,,563630.0,0.28,0.008,HIP:VT,0.532264073949222
155.871878566314,-43.834957232319,I/337/tgasptyc,recno=1495847,,,713280.0,0.11,0.005,HIP:BT,0.4205921938088829
155.8718788391,-43.8349578482,I/339/hsoy,"-c=155.8718788391 -43.8349578482,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.623,0.017,2MASS:H,1.6506189821182944
155.8718788391,-43.8349578482,I/339/hsoy,"-c=155.8718788391 -43.8349578482,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.61,0.013,2MASS:J,1.2398743593982477
155.8718788391,-43.8349578482,I/339/hsoy,"-c=155.8718788391 -43.8349578482,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.339,0.001,Gaia:G,0.6734611412921474
155.871877089,-43.834954539,I/340/ucac5,"-c=155.8718733 -43.8349564,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.623,,2MASS:H,1.6506189821182944
155.871877089,-43.834954539,I/340/ucac5,"-c=155.8718733 -43.8349564,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.61,,2MASS:J,1.2398743593982477
155.871877089,-43.834954539,I/340/ucac5,"-c=155.8718733 -43.8349564,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.339,,Gaia:G,0.6734611412921474
155.8718844173623,-43.8349553422664,I/345/gaia2,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,0.0,388100.0,0.493,0.0,GAIA/GAIA2:Grp,0.7729966503478485
155.8718844173623,-43.8349553422664,I/345/gaia2,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,0.0,481500.0,0.348,0.0,GAIA/GAIA2:G,0.6230529595015576
155.8718844173623,-43.8349553422664,I/345/gaia2,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.234,0.0,GAIA/GAIA2:Gbp,0.504965494024575
155.8718845743114,-43.8349559358834,I/350/gaiaedr3,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,393400.0,0.486,0.002,GAIA/GAIA3:Grp,0.762582613116421
155.8718845743114,-43.8349559358834,I/350/gaiaedr3,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.34,0.001,GAIA/GAIA3:G,0.5826374053214216
155.8718845743114,-43.8349559358834,I/350/gaiaedr3,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.24,0.001,GAIA/GAIA3:Gbp,0.5039475894506972
155.8718858130857,-43.8349555511055,I/350/tyc2tdsc,recno=1944962,,0.0,563630.0,0.28,0.008,HIP:VT,0.532264073949222
155.8718858130857,-43.8349555511055,I/350/tyc2tdsc,recno=1944962,,0.0,713280.0,0.11,0.005,HIP:BT,0.4205921938088829
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,13571.0,0.00726,0.00142,WISE:W4,22.105961240881292
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,25934.0,0.0189,0.0004,WISE:W3,11.56782601989666
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,65172.0,0.11,0.002,WISE:W2,4.603203829865587
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,89490.0,0.215,0.007,WISE:W1,3.352329869259135
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,138550.0,0.043,0.0,2MASS:Ks,2.165283291230603
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,181750.0,0.623,0.017,2MASS:H,1.6506189821182944
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,241960.0,0.0913,0.0,2MASS:J,1.2398743593982477
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,332440.0,0.511,0.012,SDSS:z,0.9024184815305017
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,392660.0,0.481,0.008,SDSS:i,0.7640197626445271
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,445460.0,0.199,0.0,Gaia:G,0.6734611412921474
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,445460.0,0.567,0.0,Gaia:G,0.6734611412921474
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,445460.0,0.319,0.0,Gaia:G,0.6734611412921474
155.8718844173599,-43.8349553422662,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,479900.0,0.381,,SDSS:r,0.625130235465722
