_RAJ2000,_DEJ2000,_tabname,_ID,_tab1_31,_tab1_32,sed_freq,sed_flux,sed_eflux,sed_filter,wl
331.2030289,-12.0188944,I/297/out,"NOMAD1===0779-0880528&-c=331.2030289 -12.0188944,eq=J2000&-c.rs=",,0.0,181750.0,0.079,,2MASS:H,1.6506189821182944
331.2030289,-12.0188944,I/297/out,"NOMAD1===0779-0880528&-c=331.2030289 -12.0188944,eq=J2000&-c.rs=",,0.0,241960.0,0.0896,,2MASS:J,1.2398743593982477
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,382540.0,0.0822,0.0342,POSS-II:i,0.7842317143305275
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,468430.0,0.0774,0.0314,POSS-II:F,0.6404372051320368
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,640580.0,0.0399,0.0119,POSS-II:J,0.4683255799431765
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.0173,0.0075,Johnson:B,0.44451029782189955
331.20302796,-12.01889706,I/317/sample,"PPMXL=1356743210441084979&-c=331.203028 -12.018897,eq=J2000&-c.r",,0.0,138550.0,0.0565,0.0014,2MASS:Ks,2.165283291230603
331.20302796,-12.01889706,I/317/sample,"PPMXL=1356743210441084979&-c=331.203028 -12.018897,eq=J2000&-c.r",,0.0,181750.0,0.079,0.0016,2MASS:H,1.6506189821182944
331.20302796,-12.01889706,I/317/sample,"PPMXL=1356743210441084979&-c=331.203028 -12.018897,eq=J2000&-c.r",,0.0,241960.0,0.0896,0.0018,2MASS:J,1.2398743593982477
331.20304799,-12.01889706,I/319/xpm,"-c=331.203048 -12.018897,eq=ICRS&-c.rs=0.004",,0.0,138550.0,0.0566,0.0014,2MASS:Ks,2.165283291230603
331.20304799,-12.01889706,I/319/xpm,"-c=331.203048 -12.018897,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.0789,0.0016,2MASS:H,1.6506189821182944
331.20304799,-12.01889706,I/319/xpm,"-c=331.203048 -12.018897,eq=ICRS&-c.rs=0.004",,0.0,241960.0,0.0897,0.0018,2MASS:J,1.2398743593982477
331.2030445,-12.0188931,I/322A/out,"UCAC4===390-136734&-c=331.2030445 -12.0188931,eq=J2000&-c.rs=0.0",,0.0,138550.0,0.0565,0.0016,2MASS:Ks,2.165283291230603
