_RAJ2000,_DEJ2000,_tabname,_ID,_tab1_45,_tab1_46,sed_freq,sed_flux,sed_eflux,sed_filter,wl
152.2159544,69.276555,I/294A/ucac2bss,recno=342436,,0.0,181750.0,0.619,,2MASS:H,1.6506189821182944
152.2159544,69.276555,I/294A/ucac2bss,recno=342436,,0.0,241960.0,0.517,,2MASS:J,1.2398743593982477
152.2159544,69.276555,I/294A/ucac2bss,recno=342436,,0.0,563630.0,0.0784,,HIP:VT,0.532264073949222
152.2159544,69.276555,I/294A/ucac2bss,recno=342436,,0.0,713280.0,0.012,,HIP:BT,0.4205921938088829
152.2159542,69.276555,I/297/out,"NOMAD1===1592-0106264&-c=152.2159542 +69.2765550,eq=J2000&-c.rs=",,0.0,181750.0,0.619,,2MASS:H,1.6506189821182944
152.2159542,69.276555,I/297/out,"NOMAD1===1592-0106264&-c=152.2159542 +69.2765550,eq=J2000&-c.rs=",,0.0,241960.0,0.517,,2MASS:J,1.2398743593982477
152.215955,69.276556,I/305/out,"GSC2.3===N7SI000220&-c=152.215955 +69.276556,eq=J2000&-c.rs=0.00",,0.0,674900.0,0.013,0.0039,Johnson:B,0.44451029782189955
152.215904,69.27656901,I/317/sample,"PPMXL= 907983540967422841&-c=152.215904 +69.276569,eq=J2000&-c.r",,0.0,138550.0,0.47,0.01,2MASS:Ks,2.165283291230603
152.215904,69.27656901,I/317/sample,"PPMXL= 907983540967422841&-c=152.215904 +69.276569,eq=J2000&-c.r",,0.0,181750.0,0.619,0.015,2MASS:H,1.6506189821182944
152.215904,69.27656901,I/317/sample,"PPMXL= 907983540967422841&-c=152.215904 +69.276569,eq=J2000&-c.r",,0.0,241960.0,0.517,0.01,2MASS:J,1.2398743593982477
152.2159048,69.2765417,I/322A/out,"UCAC4===797-019598&-c=152.2159048 +69.2765417,eq=J2000&-c.rs=0.0",,0.0,138550.0,0.47,0.009,2MASS:Ks,2.165283291230603
152.2159048,69.2765417,I/322A/out,"UCAC4===797-019598&-c=152.2159048 +69.2765417,eq=J2000&-c.rs=0.0",,0.0,181750.0,0.619,0.017,2MASS:H,1.6506189821182944
152.2159048,69.2765417,I/322A/out,"UCAC4===797-019598&-c=152.2159048 +69.2765417,eq=J2000&-c.rs=0.0",,0.0,241960.0,0.517,0.01,2MASS:J,1.2398743593982477
152.215894341,69.276536882,I/331/apop,"-c=152.2158943 +69.2765369,eq=ICRS&-c.rs=0.004",,0.0,138550.0,0.47,,2MASS:Ks,2.165283291230603
152.215894341,69.276536882,I/331/apop,"-c=152.2158943 +69.2765369,eq=ICRS&-c.rs=0.004",,0.0,181750.0,0.619,,2MASS:H,1.6506189821182944
152.215894341,69.276536882,I/331/apop,"-c=152.2158943 +69.2765369,eq=ICRS&-c.rs=0.004",,0.0,241960.0,0.517,,2MASS:J,1.2398743593982477
152.2158922021,69.2765397352,I/339/hsoy,"-c=152.2158922021 +69.2765397352,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.619,0.015,2MASS:H,1.6506189821182944
152.2158922021,69.2765397352,I/339/hsoy,"-c=152.2158922021 +69.2765397352,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.517,0.01,2MASS:J,1.2398743593982477
152.2158922021,69.2765397352,I/339/hsoy,"-c=152.2158922021 +69.2765397352,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.156,0.0,Gaia:G,0.6734611412921474
152.215890531,69.276547577,I/340/ucac5,"-c=152.2164919 +69.2765661,eq=J2000&-c.rs=0.004",,0.0,181750.0,0.619,,2MASS:H,1.6506189821182944
152.215890531,69.276547577,I/340/ucac5,"-c=152.2164919 +69.2765661,eq=J2000&-c.rs=0.004",,0.0,241960.0,0.517,,2MASS:J,1.2398743593982477
152.215890531,69.276547577,I/340/ucac5,"-c=152.2164919 +69.2765661,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.156,,Gaia:G,0.6734611412921474
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,138550.0,0.47,0.01,2MASS:Ks,2.165283291230603
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,181750.0,0.619,0.015,2MASS:H,1.6506189821182944
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,241960.0,0.517,0.01,2MASS:J,1.2398743593982477
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,332440.0,0.242,0.0,SDSS:z,0.9024184815305017
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,392660.0,0.256,0.0,SDSS:i,0.7640197626445271
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,479900.0,0.138,0.0,SDSS:r,0.625130235465722
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,621980.0,0.0379,0.0,SDSS:g,0.48233062156339435
152.2159576416016,69.2765579223633,I/353/gsc242,"-c=152.21595764160 +69.27655792236,eq=ICRS&-c.rs=0.004",,,851920.0,0.00219,1e-05,SDSS:u,0.35214574138416754
152.215719,69.276588,II/246/out,"2MASS===10085177+6916357 &-c=152.215719 +69.276588,eq=J2000&-c.r",2451218.8249,4700.0,136890.0,0.45,0.002,Johnson:K,2.1915406530791146
152.215719,69.276588,II/246/out,"2MASS===10085177+6916357 &-c=152.215719 +69.276588,eq=J2000&-c.r",2451218.8249,4700.0,136890.0,0.455,0.01,Johnson:K,2.1915406530791146
152.215719,69.276588,II/246/out,"2MASS===10085177+6916357 &-c=152.215719 +69.276588,eq=J2000&-c.r",2451218.8249,4700.0,183920.0,0.613,0.015,Johnson:H,1.6311439756415833
152.215719,69.276588,II/246/out,"2MASS===10085177+6916357 &-c=152.215719 +69.276588,eq=J2000&-c.r",2451218.8249,4700.0,239830.0,0.528,0.01,Johnson:J,1.250886044281366
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,59601.0,0.115,0.002,Johnson:M,5.033472592741733
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,88174.0,0.217,0.006,Johnson:L,3.40236350851725
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,136890.0,0.455,0.01,Johnson:K,2.1915406530791146
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,183920.0,0.613,0.015,Johnson:H,1.6311439756415833
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,239830.0,0.528,0.01,Johnson:J,1.250886044281366
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,563630.0,0.0944,0.0088,HIP:VT,0.532264073949222
152.215905,69.2765416667,II/346/jsdc_v2,recno=185568,,0.0,713280.0,0.0198,0.0059,HIP:BT,0.4205921938088829
152.215875,69.276549722,II/361/mdfc-v10,recno=441609,,0.0,138550.0,0.47,,2MASS:Ks,2.165283291230603
