Rp_log,P_log_mid,Rp,P_mid,bins,grps,i
0.6737117471036232,1.2241344901807443,1.9615044338505254,3.4012210182947533,10.0,2.0,1.0
0.7207701844790706,0.9863954351895069,2.056016112701065,2.681551205738947,10.0,3.0,1.0
0.5410410300616495,2.423570359585849,1.717794207092861,11.286082839983056,10.0,3.0,2.0
0.7667305796581796,0.858200339447641,2.152716600480713,2.358911631208342,10.0,4.0,1.0
0.5399667145628783,2.077406338627703,1.7159497450969357,7.983734932554619,10.0,4.0,2.0
0.6246105669323591,2.805799635770604,1.867518542326853,16.54029683239897,10.0,4.0,3.0
0.7930083141384463,0.7718874287667008,2.2100349152012195,2.1638465081250797,10.0,5.0,1.0
0.5820716322145943,1.8492974906103965,1.7897422806824992,6.355353258650884,10.0,5.0,2.0
0.49682440467889666,2.4279607981570965,1.6434939035413416,11.33574262775591,10.0,5.0,3.0
0.7872133917979514,3.0337359494334093,2.1972649706520624,20.774701022725512,10.0,5.0,4.0
0.7972634309863451,0.7187089626610075,2.2194589078791007,2.0517825720633387,10.0,6.0,1.0
0.6415138688993699,1.698114777799012,1.8993540769999644,5.463637505843652,10.0,6.0,2.0
0.5496437369337348,2.2058643993500424,1.7326356338147342,9.078095276976526,10.0,6.0,3.0
0.6311649827612431,2.6677598418798762,1.8797992378487398,14.407657583630586,10.0,6.0,4.0
0.9813165574650571,0.43811166989846567,2.667966461881159,1.5497779613044573,10.0,18.0,1.0
0.9577975123368604,0.41937576057443726,2.6059505741194595,1.521011783684811,10.0,19.0,1.0
0.7939886017245263,1.0202215001413508,2.2122024472221846,2.773809095031207,10.0,19.0,2.0
0.8009973334467628,1.3001597529210658,2.2277616421095017,3.669882895304699,10.0,19.0,3.0
0.6835687509983207,1.2241344901807443,1.9809345949611932,3.4012210182947533,11.0,2.0,1.0
0.728600748486787,0.9863954351895069,2.072179078451783,2.681551205738947,11.0,3.0,1.0
0.5519090894991612,2.423570359585849,1.7365651135407856,11.286082839983056,11.0,3.0,2.0
0.7625078032265483,0.858200339447641,2.143645326018014,2.358911631208342,11.0,4.0,1.0
0.570988757277155,2.077406338627703,1.7700163029988893,7.983734932554619,11.0,4.0,2.0
0.8107681053023366,0.7718874287667008,2.249635280006862,2.1638465081250797,11.0,5.0,1.0
0.5809958678301474,1.8492974906103965,1.7878179749149852,6.355353258650884,11.0,5.0,2.0
0.49235807888265903,2.4279607981570965,1.6361698922093522,11.33574262775591,11.0,5.0,3.0
0.7888427650298564,3.0337359494334093,2.2008480536757142,20.774701022725512,11.0,5.0,4.0
0.8174307354080824,0.7187089626610075,2.264673810201604,2.0517825720633387,11.0,6.0,1.0
0.5960065336596363,1.698114777799012,1.8148567403403297,5.463637505843652,11.0,6.0,2.0
0.5702814425100196,2.2058643993500424,1.7687647869897622,9.078095276976526,11.0,6.0,3.0
0.5988784159004439,2.6677598418798762,1.8200762865561237,14.407657583630586,11.0,6.0,4.0
0.8246419288842698,0.670970512433281,2.2810638360058246,1.9561348528935831,11.0,7.0,1.0
0.825021812113132,0.6425187389126146,2.2819305385135378,1.9012636402272043,11.0,8.0,1.0
0.7670894482094021,1.4948702205909998,2.1534892814054696,4.458757860337462,11.0,8.0,2.0
0.5809958678301474,1.9059550360273927,1.7878179749149852,6.7258279693429,11.0,8.0,3.0
0.49327524988621696,2.2731307755511025,1.6376712281770451,9.709752332595418,11.0,8.0,4.0
0.5679821796700141,2.6080960284815653,1.7647026036455307,13.573183279705978,11.0,8.0,5.0
0.7836147988528787,2.9686516447067697,2.1893721185288184,19.465655273866677,11.0,8.0,6.0
0.8844133402146387,0.5559986766773709,2.4215633408598918,1.743681489565038,11.0,11.0,1.0
0.8281437368882894,1.2891121315264584,2.289065685898435,3.6295625505569293,11.0,11.0,2.0
0.6260278653186138,1.626957968146296,1.8701672499043018,5.0883721606580625,11.0,11.0,3.0
0.667018373260823,1.9253572308113078,1.948419192439645,6.857597973676788,11.0,11.0,4.0
0.5693009192700383,2.1945124706883012,1.7670313220002953,8.975624110116685,11.0,11.0,5.0
0.5194309513079101,2.4437854151949328,1.681070766347197,11.516553270086776,11.0,11.0,6.0
0.6300581325854604,2.6853477072486562,1.8777197327944612,14.66329902932829,11.0,11.0,7.0
0.773742649247527,2.944571475084727,2.1678646465982294,19.00251758922891,11.0,11.0,8.0
0.7556704421089157,3.2706121901564296,2.1290384419916903,26.32745181766021,11.0,11.0,9.0
0.8725350345943373,0.5246081562421113,2.392969431219014,1.6897965823922567,11.0,12.0,1.0
0.8134873687780357,1.2401900026269772,2.255760955946214,3.456270102778297,11.0,12.0,2.0
0.7229802023205496,1.5695939968033206,2.0605649696685786,4.804697075350153,11.0,12.0,3.0
0.5209532045121925,1.8382933703893447,1.6836317304312525,6.285801566771894,11.0,12.0,4.0
0.6488115527693992,2.0924674544019495,1.9132656620462811,8.104888955892681,11.0,12.0,5.0
0.5051542607274391,2.331027806770291,1.6572411479687288,10.288510701536806,11.0,12.0,6.0
0.9556831739364468,0.5027535456812356,2.6004465335036855,1.6532673560891473,11.0,13.0,1.0
0.8521694944405738,1.2013938308600651,2.3447282127631546,3.3247478307640113,11.0,13.0,2.0
0.748303513231283,1.5300990983619354,2.1134115988074234,4.6186344987351164,11.0,13.0,3.0
0.5759923125536512,1.7790097534625415,1.778894871091033,5.923987305219206,11.0,13.0,4.0
0.553479327304892,2.0170391344767657,1.7392940757332618,7.51603797788436,11.0,13.0,5.0
0.9723128018048687,0.47918131373206146,2.644052562754461,1.6147518857087613,11.0,14.0,1.0
