Rp_log,Ms_log_mid,Rp,Ms_mid,bins,grps,i
0.5893844193302491,-0.12059011940018055,1.8028782567320478,0.8863972021616494,10.0,2.0,1.0
0.6057111699938441,-0.14164586207524396,1.8325550037072773,0.867928568489366,10.0,3.0,1.0
0.5767564789964049,-0.026384032769327822,1.780254762382177,0.9739609848448756,10.0,3.0,2.0
0.5762315954186946,-0.16362742378580203,1.7793205810829207,0.8490583018850943,10.0,4.0,1.0
0.6312655089982284,-0.07349651187033004,1.8799882164909054,0.9291393867445293,10.0,4.0,2.0
0.5300596751154157,0.009165478342361734,1.6990336956252616,1.0092076099594176,10.0,4.0,3.0
0.5739342933217585,-0.1749915493245801,1.7752376358558715,0.8394641147779933,10.0,5.0,1.0
0.6417891415428142,-0.10056873552579759,1.8998769891859846,0.9043229511629128,10.0,5.0,2.0
0.6153022137830247,-0.030937701859043765,1.850215675752587,0.9695359714832658,10.0,5.0,3.0
0.5831235017095028,-0.1807719605251181,1.7916258464503139,0.8346256645946134,10.0,6.0,1.0
0.6177371605101676,-0.11169679128470952,1.8547263417438338,0.8943153806124549,10.0,6.0,2.0
0.6196483640754323,-0.05151495015977198,1.8582744908783762,0.9497894503520241,10.0,6.0,3.0
0.5406264469065796,-0.005328290094264422,1.717082186156865,0.9946858800646564,10.0,6.0,4.0
0.6302488485253106,0.05299016176861607,1.8780778780289935,1.0544192714475584,10.0,6.0,5.0
0.5843142549198037,-0.1807719605251181,1.793760501349994,0.8346256645946134,10.0,7.0,1.0
0.6398196477731122,-0.12256678460291248,1.8961388755966107,0.8846468221838588,10.0,7.0,2.0
0.6304269212123353,-0.07280198692939593,1.8784123421817571,0.9297849213662265,10.0,7.0,3.0
0.621028550051425,-0.030671815120526014,1.8608410260107109,0.9697937925146768,10.0,7.0,4.0
0.5661668851180792,0.01458518864988994,1.7615020544719826,1.0146920715172658,10.0,7.0,5.0
0.7104790530710513,0.06726544647880313,2.0349658818351735,1.069579356569675,10.0,7.0,6.0
0.59119063271792,-0.18661998040671374,1.8061375822082493,0.8297590011563599,10.0,8.0,1.0
0.6198199804733404,-0.13952637287686323,1.8585934286195156,0.8697700845625814,10.0,8.0,2.0
0.6634359244721962,-0.08920460998701951,1.9414515684937717,0.9146584061823299,10.0,8.0,3.0
0.6137015434728627,-0.04616730560139805,1.8472564594496805,0.9548821916864928,10.0,8.0,4.0
0.5768459928328767,-0.010254438315770241,1.7804141269484155,0.9897979591815695,10.0,8.0,5.0
0.6026512623814473,-0.18661998040671374,1.8269561250954807,0.8297590011563599,10.0,9.0,1.0
0.5850731145262555,-0.14517615050382993,1.7951222303533372,0.8648699324175861,10.0,9.0,2.0
0.6514099339558729,-0.10020203217236012,1.9182435199327066,0.9046546302318913,10.0,9.0,3.0
0.7067423398311563,-0.061931993611192976,2.027375987342894,0.939946807005588,10.0,9.0,4.0
0.5721818395276757,-0.035748000852535024,1.7721293382949335,0.9648834126463155,10.0,9.0,5.0
0.5553030052971684,-0.00020004001066986805,1.7424688820936198,0.999799979995999,10.0,9.0,6.0
0.6834284174793286,0.03903576771007777,1.980656622943441,1.0398076745244766,10.0,9.0,7.0
0.7145301087157412,0.09049366689040907,2.0432263623938027,1.0947145746723208,10.0,9.0,8.0
0.6278646476412073,-0.19253720923021517,1.8736054967380678,0.8248636250920512,10.0,10.0,1.0
0.6173741979272471,-0.1568077272391427,1.854053267637971,0.8548684109265005,10.0,10.0,2.0
0.6669135444656905,-0.11678637340237447,1.948214952708578,0.8897752525216691,10.0,10.0,3.0
0.6256307536497069,-0.0780930415946644,1.8694247321075559,0.9248783703817491,10.0,10.0,4.0
0.6307978921561749,-0.04616730560139805,1.879109307850269,0.9548821916864928,10.0,10.0,5.0
0.589066451913194,-0.015229603742354287,1.802305091318282,0.9848857801796105,10.0,10.0,6.0
0.6241991626684185,0.014779401120772214,1.866750395255876,1.014889156509222,10.0,10.0,7.0
0.6049433883141527,-0.19253720923021517,1.8311485415454358,0.8248636250920512,10.0,11.0,1.0
0.6302946312876438,-0.1568077272391427,1.8781638635904399,0.8548684109265005,10.0,11.0,2.0
0.6080759809040542,-0.12231129149566697,1.8368937779419399,0.8848728722251575,10.0,11.0,3.0
0.6465995377493435,-0.08896560424633082,1.9090381670294798,0.9148770409186144,10.0,11.0,4.0
0.6389773693383197,-0.056696343677545266,1.8945424711152365,0.9448809448814174,10.0,11.0,5.0
0.5963248487453588,-0.030512350918887314,1.8154345285736821,0.9699484522385713,10.0,11.0,6.0
0.5430725399716778,-0.00020004001066986805,1.7212874701458138,0.999799979995999,10.0,11.0,7.0
0.72042290022995,0.02951167022473053,2.0553022146591338,1.0299514551666986,10.0,11.0,8.0
0.6180253160335712,0.06287560265278022,1.855260868393314,1.0648943609579309,10.0,11.0,9.0
0.7030584769318394,0.1086029793237282,2.0199211518867344,1.1147196957082979,10.0,11.0,10.0
0.6301567735739128,-0.19253720923021517,1.8779049620603894,0.8248636250920512,10.0,12.0,1.0
0.6066071701269167,-0.16258813843968073,1.8341977090566686,0.8499411744350311,10.0,12.0,2.0
0.6335425610293595,-0.1336783529952676,1.8842739250166491,0.8748714191239761,10.0,12.0,3.0
0.6514099339558729,-0.09455225454539344,1.9182435199327066,0.9097801932335084,10.0,12.0,4.0
0.6722337332084973,-0.061931993611192976,1.9586074444646053,0.939946807005588,10.0,12.0,5.0
0.6332402276823623,-0.04087625093612958,1.883704332282017,0.9599479152537391,10.0,12.0,6.0
0.7111742795422946,0.034296395732805886,2.036381135888339,1.0348912986396204,10.0,12.0,9.0
