P,Ms,Rp,Sp
4.362705,0.96,1.709247983,253.66
6.941357,0.96,2.747693982,136.34
31.781925,0.96,2.323564104,17.96
8.114379,0.53,2.48000476,12.54956951
3.02166863,1.16,1.561584104,875.42
10.35533177,0.88,2.493734562,75.62
2.49412,0.7,1.291717159,161.0855041
22.2419092,1.29,1.465540167,149.41
15.9653287,1.21,3.613724272,144.7038996
26.723,1.21,3.00011712,106.21
49.3568,1.07,2.261646376,46.84
3.76419105,0.75,2.026631449,174.07
20.50586978,0.77,3.730366493,15.65
3.21509004,0.94,2.55471484,421.21
42.3004954,1.12,2.688052927,22.85
7.2385854,0.93,1.475328118,103.15
9.1149903,0.99,1.788298942,129.53
56.0560538,0.53,2.543322408,0.874496445
5.62012,0.81,1.902638534,84.01
16.736525,0.67,2.758140698,11.86083288
3.9324613,0.73,1.625466083,111.11
5.33905686,0.81,2.267593112,115.77
3.29011795,0.77,2.178919559,142.499985
8.39846269,1.16,2.57937347,280.6296
51.078775,1.08,3.821435145,49.15
20.42228798,1.19,2.059666082,109.84
7.63846023,1.19,1.226042181,407.98
33.8678531,0.77,2.265151037,5.83
9.600001,1.09,1.390333997,107.0574129
20.678772,1.09,1.913558094,38.48387442
12.18420029,0.98,2.330947066,106.52
4.973456,0.84,2.353760591,135.08
15.906801,0.84,2.628317674,28.64
9.28699,0.94,2.318783704,88.90406018
8.1453,1.03,2.891874258,252.25
12.3335,1.03,2.996707896,144.83
18.998355,0.98,2.541576492,81.51
9.02929974,0.82,2.753185351,77.75
6.4816307,1.09,2.561405689,418.1736584
21.22265,1.09,2.798502086,85.97530577
11.9548,0.84,2.654143776,159.04
1.07839035,0.84,1.514738636,1038.49
6.846262,0.98,1.735491702,245.27581
17.028937,0.98,2.68445504,72.77954796
67.831024,0.98,2.312863455,11.52625547
13.24934059,1.04,2.97535055,101.14
18.6489525,0.98,3.331752213,58.05302013
38.5583038,0.98,3.512171699,22.03975932
9.751962,0.98,2.278711036,137.7975221
29.53910065,1.3,2.376655281,61.49
4.51436633,1.15,1.87544004,454.6
11.72292176,1,2.169675491,81.64
6.00253,1.25,1.957156824,496.68
11.448708,1.25,1.199260104,209.97
19.57783,1.01,2.031803572,38.49797033
1.97034246,0.8,1.628040146,328.7
26.0204423,0.92,3.33754288,24.19161533
17.790037,0.97,3.054071325,44.55
49.567416,0.97,2.676077548,11.35
1.31184443,0.97,1.604877252,1444.52
10.10769068,0.97,3.527736825,317.8803874
7.01075434,1.13,1.911001176,324.28
61.0370117,1.14,2.902643455,20
1.22486632,0.82,2.003367107,2521.094927
13.060855,0.99,1.3715084,50.17
21.853722,0.99,1.68140362,25.26
12.49341307,0.86,2.20997951,37.75
3.74910006,1.04,1.565154431,490.71
29.6193421,0.94,2.015963449,25.58353135
29.6091744,1.02,1.305470544,33.37186599
3.51749439,0.59,1.53215986,68.72
4.144495,0.75,1.656768881,153.3215631
7.953528,0.75,2.595535302,64.29131555
10.91647,0.99,3.502846536,68.56
6.36584161,0.97,2.726430878,169.8286885
5.766193,1.08,2.608785494,448.1
21.587475,1.08,2.506669042,77.14
37.993273,1.08,2.744355261,36.3
56.268,1.03,2.550933835,21.52
1.732342,1.02,1.564297047,1572.31
13.5405,1.02,2.48689398,101.75
7.02573474,1.02,1.599492304,244.06
30.2541008,1.24,2.433497535,44.87
11.0895723,1.57,2.87231604,451.18
9.22957993,1.27,2.960353767,257.11
8.180848,0.79,2.15438931,59.8
15.31299,0.79,2.355525805,25.93
16.54964934,0.88,2.397117613,32.14
5.75622988,0.79,2.027947917,84.16
3.82591009,0.91,2.682149018,241.25
11.922,1.07,1.59545127,272.84
4.42157218,0.71,1.772852343,47.18
2.061897,0.98,1.646436762,1069.23
5.996553,0.98,3.00189224,257.35
2.50806,0.81,3.135367453,216.09
1.653888,0.92,1.044386156,735.18
4.337234,0.92,1.740746587,203.41
23.12748644,1.08,1.419908551,44.89
3.12686223,0.77,2.165362186,129.22
10.311767,0.8,1.342065645,35.19000486
16.1456994,0.8,2.512235648,19.35619774
7.96431535,0.82,2.387593258,74.35
25.745718,1.19,1.645125412,68.71
59.980627,1.19,2.442220825,22.23
38.5053398,0.92,2.722623779,21.69
5.885273,1.15,1.427083143,426.72
10.104665,1.15,1.414162529,207.25
6.5100253,0.94,2.532558927,178.7
8.436387,0.91,1.671570908,86.33
18.735753,0.91,2.141750561,29.77
9.77,0.66,2.884687605,16.75622916
20.09,0.66,2.505879825,6.408514272
5.169796,0.58,2.132783092,28.81
25.2034787,0.86,2.942718071,29.6070782
11.476094,1.17,1.79017041,178.36
6.05921984,0.98,1.26304753,214.55
14.70748976,1.02,2.104740462,90.38
5.03251791,0.93,2.564488077,326.4854287
3.70428172,1.46,1.647835308,4756.32
15.771044,1.08,2.683635941,64.78
7.30569992,1.08,1.867373628,210.72
6.88337562,0.98,2.550056163,247.47
1.6329,0.81,1.118961234,475.51
20.729042,0.81,1.833523213,16.03
15.09,1.09,1.534230104,227.4
22.804,1.09,1.451351437,130.98
91.080482,0.96,3.444796601,7.268680562
4.01593,1.05,1.923082681,425.0997147
10.56103,1.05,2.6202946,116.9471303
7.1079379,0.99,2.080862484,147.7803189
20.543791,0.99,2.483704915,35.89500199
19.0921,1.21,2.950929363,94.33392429
11.57797,0.87,1.65445707,114.837997
27.59221,0.87,2.89816821,36.07559642
5.16950177,1.03,2.331027844,808.84
4.11584468,0.78,1.602486194,98.41
76.613377,1.16,2.928207666,18.86
21.76129913,0.78,2.738826797,13.18
10.381227,0.88,2.143580186,45.78
24.570858,0.88,2.327887144,14.51
2.53918318,0.96,2.03982464,702.28
1.678328,1.02,1.453837247,1903.417063
3.5538229,1.02,1.664630814,700.2731665
12.99207337,0.98,3.361293578,264.58
30.82789993,1.05,2.857314342,27.66
4.72673978,0.91,1.677557856,267.8941952
41.6979976,1.06,2.362974096,21.99
24.3397804,1,2.924600231,35.52272277
76.5369586,1,2.576324352,7.710813281
6.319,1,2.627325992,224.09
12.209,1,2.539798176,93.07
3.07644709,0.95,1.581189481,599.7185016
9.93143556,1.04,3.53414696,228.6088341
14.91110039,0.93,2.845443483,49.29
16.22371307,0.94,2.4749655,109.0577715
2.711506,1.11,3.636563633,1075.518426
7.21205,1.11,3.873932036,291.8459312
37.6467384,1.05,2.229643119,11.38
4.16787,0.87,1.257056062,202.48
8.30864937,0.86,2.407603833,62.93
7.781987,1.05,1.208853225,192.27
13.137471,1.05,1.705573865,95.51
30.229104,1.28,3.152240573,61.49
40.806231,1.46,3.871921971,79.48
8.187399,0.92,2.492919478,132.13
25.934138,1.13,2.714082478,64.93
83.446393,1.13,2.989818097,13.66
66.4162133,0.81,3.926356759,3.983107986
11.30119217,1.09,2.323648404,173.7229817
10.21420496,1.14,2.971114755,295.83
4.41769648,0.82,1.312766666,129.1942183
15.228958,0.87,2.924431736,40.73
24.674612,0.87,2.25839738,21.41
4.57953,0.98,1.334896955,298.4407033
19.02293,0.98,2.018964656,44.69401663
40.6994443,1.3,2.899977546,39.3
7.75192492,1.04,3.346628828,407.83
4.1653651,1.04,1.839034032,932.13
13.14497566,0.93,1.690459278,61.57
7.40742793,1.07,3.059254044,304.8897466
18.82747265,0.87,3.164563955,32.91696918
78.1000231,1.14,2.93761468,10.79231503
34.763278,0.93,2.359518906,41.74
67.968015,0.93,2.469815479,17.06
3.22296927,1.06,1.651858298,535.19
7.2037945,0.55,2.805596471,22.93037831
10.9129343,0.55,2.486633003,13.1796614
2.576549,0.55,1.782597999,90.31816364
18.596108,0.55,1.733192661,6.475354671
3.70061994,0.92,1.737657702,737.02
5.25416994,1.05,2.06540952,338.15
12.551158,0.6,1.759980354,16.82
24.08821,0.6,1.493318038,7.05
10.300682,1.16,2.179412004,230.3205527
16.088134,1.16,3.526572606,127.1002586
35.676062,1.16,3.13095997,43.95262192
1.95270002,1.02,2.070739465,917.15
42.913751,1.41,2.710507912,73.5
4.612696,1.17,1.639443325,844.98
13.121632,1.17,1.993274696,209.37
16.568087,0.8,2.948399091,28.37865061
10.2737999,1,1.699104792,96.27
10.514181,1.2,1.196681332,219.2891839
4.3931539,0.78,1.708947579,116.4116066
7.406106,0.78,1.665745682,57.92669026
21.80379,0.78,1.226790681,13.74854384
78.5460968,1.06,3.477494565,14.85
