Rp_log,P_log_mid,Rp,P_mid,bins,grps,i
0.6538976682086981,1.1764808919228271,1.9230215408013982,3.2429418360117657,10.0,2.0,1.0
0.7133399048934737,0.9667844298335759,2.0407959531955893,2.6294755872734394,10.0,3.0,1.0
0.5312151133099267,2.3720255483710657,1.7009979586246644,10.719082329328755,10.0,3.0,2.0
0.8001749689967009,0.840469701477072,2.2259303632243514,2.317455233329373,10.0,4.0,1.0
0.5597807934578035,2.0130812989274935,1.7502887834889465,7.486349525346697,10.0,4.0,2.0
0.9037037085420081,0.461816057979492,2.4687296548057818,1.5869533689677904,10.0,14.0,1.0
0.9413341807471227,0.4506665885991509,2.563399175696659,1.56935795302256,10.0,15.0,1.0
0.7359807558328078,1.0674926048503228,2.087528344455169,2.908078648444203,10.0,15.0,2.0
0.8317600293715772,1.3709957798446069,2.2973586027008515,3.939271390124866,10.0,15.0,3.0
0.6505467776425415,1.616644490842385,1.9165884903053607,5.036163041428383,10.0,15.0,4.0
0.5424434744247439,1.833028929550859,1.7202050080074909,6.252797287064407,10.0,15.0,5.0
0.6386281245974781,2.0218651172545314,1.893880927647911,7.552397913364998,10.0,15.0,6.0
0.9295746581830244,0.4316590118124229,2.5334313741128054,1.5398099686214186,10.0,16.0,1.0
0.7055286693143382,1.028459648812772,2.0249169134351517,2.7967545309284834,10.0,16.0,2.0
0.8410590671857463,1.3250190402488493,2.3188214645406515,3.7622569886272457,10.0,16.0,3.0
0.7527563399816782,1.5688883565247882,2.122843237652119,4.801307883483417,10.0,16.0,4.0
0.52758291525355,1.7703390357081612,1.6948308040890068,5.872844127760863,10.0,16.0,5.0
0.7076001573301101,1.9492704518392832,2.0291158520783132,7.023561684513998,10.0,16.0,6.0
0.9342784672086637,0.4173373264780231,2.5453762225951233,1.5179144593221978,10.0,17.0,1.0
0.7219259466704372,1.0045587041149922,2.0583937521171682,2.7307019593577033,10.0,17.0,2.0
0.8727799522326725,1.297758897573291,2.3935555834172924,3.6610826056681676,10.0,17.0,3.0
0.7922073107774538,1.5279063296955098,2.208265378603226,4.608517997351783,10.0,17.0,4.0
0.668558085168832,1.1764808919228271,1.9514215074289722,3.2429418360117657,11.0,2.0,1.0
0.7235971932102908,0.9667844298335759,2.061836711768885,2.6294755872734394,11.0,3.0,1.0
0.52213358419091,2.3720255483710657,1.6856202284727566,10.719082329328755,11.0,3.0,2.0
0.9295509015717838,0.49581408117649817,2.5333711890834447,1.6418342815432723,11.0,12.0,1.0
0.7787367156920733,1.1931116312076022,2.1787181857761344,3.2973253215370786,11.0,12.0,2.0
0.7459552713590181,1.5352916197242643,2.1084546195687084,4.642679229398363,11.0,12.0,3.0
0.5334620927034331,1.80471060308993,1.7048243633023887,6.078212178145807,11.0,12.0,4.0
0.6331862670149758,2.0377158019415575,1.8836026890814803,7.6730623721217865,11.0,12.0,5.0
0.4718930303720172,2.250074139263297,1.6030258994708209,9.488439276179722,11.0,12.0,6.0
0.4787341422749935,2.474559693833013,1.614029976175924,11.876476675764577,11.0,12.0,7.0
0.5585704634897384,2.7061756660537903,1.7481716380022865,14.97190831192654,11.0,12.0,8.0
0.6794642227298788,2.942219575327517,1.97282045666492,18.957878087118207,11.0,12.0,9.0
0.9414292071920851,0.4173373264780231,2.5636427779814914,1.5179144593221978,11.0,17.0,1.0
0.7479770323400838,1.0045587041149922,2.112721722926948,2.7307019593577033,11.0,17.0,2.0
0.9438048683161454,0.4005594451422973,2.5697403644969588,1.492659525219868,11.0,18.0,1.0
0.6583007968520147,1.1764808919228271,1.931507520749918,3.2429418360117657,12.0,2.0,1.0
0.6961401836305176,0.9667844298335759,2.0059949731523905,2.6294755872734394,12.0,3.0,1.0
0.510698963055172,2.3720255483710657,1.6664555788505175,10.719082329328755,12.0,3.0,2.0
0.9027455252219703,0.4506665885991509,2.4663652921561874,1.56935795302256,12.0,15.0,1.0
0.7505994925232983,1.0674926048503228,2.118269522786165,2.908078648444203,12.0,15.0,2.0
0.845579432789856,1.3709957798446069,2.3293271121259265,3.939271390124866,12.0,15.0,3.0
0.6758340787998729,1.616644490842385,1.9656718176038763,5.036163041428383,12.0,15.0,4.0
0.5775767717245417,1.833028929550859,1.7817156915308492,6.252797287064407,12.0,15.0,5.0
0.608434205543902,2.0218651172545314,1.8375519164276548,7.552397913364998,12.0,15.0,6.0
0.9267001082229114,0.4316590118124229,2.526159355954566,1.5398099686214186,12.0,16.0,1.0
0.726741020179768,1.028459648812772,2.0683289695502904,2.7967545309284834,12.0,16.0,2.0
0.8313725694626535,1.3250190402488493,2.296468640769302,3.7622569886272457,12.0,16.0,3.0
0.7357893354826968,1.5688883565247882,2.087128787291513,4.801307883483417,12.0,16.0,4.0
0.9338864831231937,0.4005594451422973,2.544378671149251,1.492659525219868,12.0,18.0,1.0
0.9219091916227231,0.38225890525633566,2.514085682237113,1.465591485355684,12.0,19.0,1.0
0.6733307071248745,1.1764808919228271,1.9607571646215025,3.2429418360117657,13.0,2.0,1.0
0.7317568371996539,0.9667844298335759,2.0787293906983497,2.6294755872734394,13.0,3.0,1.0
0.5320969263517479,2.3720255483710657,1.7024985823462355,10.719082329328755,13.0,3.0,2.0
0.8270652380802372,0.840469701477072,2.286598262080631,2.317455233329373,13.0,4.0,1.0
0.5768005791752391,2.0130812989274935,1.7803332736667365,7.486349525346697,13.0,4.0,2.0
0.5492474021921374,2.703476353444376,1.7319490661828136,14.931548946810576,13.0,4.0,3.0
0.8466663453848651,0.7474219391599137,2.3318602635096797,2.111549290941559,13.0,5.0,1.0
