Rp_log,Sp_log_mid,Rp,Sp_mid,bins,grps,i
0.44083476583395076,0.5580743741099443,1.5540039065876317,1.747304603699653,10.0,6.0,1.0
0.41661051108857095,0.4722582707446241,1.5168116165633843,1.6036114961829129,10.0,7.0,1.0
0.3950369413402237,0.4053710712103529,1.484439027075188,1.4998589512852785,10.0,8.0,1.0
0.44058114414229,0.36371375339619116,1.553609827463615,1.4386623430027867,10.0,9.0,1.0
0.4597576505852652,0.30323465858639187,1.5836901321064618,1.3542322093759402,10.0,10.0,1.0
0.4813312203336123,0.26510415430083967,1.6182271858945207,1.303566740790476,10.0,11.0,1.0
0.5359479314600688,2.4286414500567863,1.7090675535362816,11.343460948956896,10.0,11.0,2.0
0.5029047900819594,0.23045600972298308,1.6535174224297455,1.2591740746509519,10.0,12.0,1.0
0.4593731551076238,2.3394351197261276,1.5830813274614983,10.375374062940287,10.0,12.0,2.0
0.5053018533873314,0.20341056160199267,1.657485762649062,1.225575539226367,10.0,13.0,1.0
0.45137217398893076,2.275816477457755,1.5704656598104545,9.735864882514939,10.0,13.0,2.0
0.5005077267765875,0.16089844395465247,1.6495585831813881,1.1745656785113379,10.0,14.0,1.0
0.4243407675878196,2.1953345900276116,1.5285823963786929,8.983006178334733,10.0,14.0,2.0
0.49331653686047183,0.13558935878780842,1.637738844062699,1.1452115259760642,10.0,15.0,1.0
0.5412578029679099,0.10840525337110452,1.7181666186984046,1.1144993084834105,10.0,16.0,1.0
0.538860739662538,0.09006258514270382,1.7140529968199452,1.0942427649018294,10.0,17.0,1.0
0.5460519295786537,0.04347397271561215,1.726423503467856,1.0444328102084883,10.0,18.0,1.0
0.3685762171498342,1.9734926192951638,1.4456748216443236,7.195764717723197,10.0,18.0,2.0
0.5382001307645525,2.476939693737351,1.7129210520861744,11.904776352372188,10.0,18.0,3.0
0.5364636763571661,0.023769690942581412,1.7099492237447247,1.0240544417162374,10.0,19.0,1.0
0.5214760497979285,1.36606636727558,1.6845122395093757,3.9199008780682085,11.0,2.0,1.0
0.5018612650088795,0.9807533578848591,1.6517928355220033,2.666464287341587,11.0,3.0,1.0
0.5756313852213654,4.257584552166684,1.7782529351638727,70.63915203341557,11.0,3.0,2.0
0.4945057207129861,0.7759202830063219,1.6396875751207962,2.1725906056735957,11.0,4.0,1.0
0.49940941691024837,0.656486976335704,1.6477478512687596,1.928007288137866,11.0,5.0,1.0
0.5534857753150666,3.3333956285502455,1.739305290755316,28.033371185071548,11.0,5.0,2.0
0.5092168093047729,0.5580743741099443,1.663987464978392,1.747304603699653,11.0,6.0,1.0
0.5248084145699408,3.0858867377827557,1.6901350121157726,21.88686615091619,11.0,6.0,2.0
0.48152492241889494,0.4722582707446241,1.6185406702351948,1.6036114961829129,11.0,7.0,1.0
0.5857131526370701,2.8835239163559585,1.7962715447576092,17.87715992698094,11.0,7.0,2.0
0.605892244684502,3.6171792757243786,1.8328868630824473,37.232397236449614,11.0,7.0,3.0
0.7362811392730215,4.264488556256216,2.0881554975893124,71.12853242618257,11.0,7.0,4.0
0.5759852002790391,4.912001458305791,1.7788822191471958,135.9111628969453,11.0,7.0,5.0
0.6927328651492517,5.611233357468757,1.999171540812168,273.4813303256825,11.0,7.0,6.0
0.4887887506169916,0.4053710712103529,1.6303402748637998,1.4998589512852785,11.0,8.0,1.0
0.5616525072190275,2.7355304390325927,1.7535678909090486,15.41791953359894,11.0,8.0,2.0
0.48394619848492715,0.36371375339619116,1.6224643522637208,1.4386623430027867,11.0,9.0,1.0
0.5130015112773139,0.30323465858639187,1.6702970941207336,1.3542322093759402,11.0,10.0,1.0
0.5347929958716039,0.26510415430083967,1.7070948299992021,1.303566740790476,11.0,11.0,1.0
0.5662695847300229,0.23045600972298308,1.761682969339199,1.2591740746509519,11.0,12.0,1.0
0.4381478828744595,2.3394351197261276,1.5498340843927516,10.375374062940287,11.0,12.0,2.0
0.5807972411262162,0.20341056160199267,1.7874629017880685,1.225575539226367,11.0,13.0,1.0
0.49587804682588743,2.275816477457755,1.6419393058982203,9.735864882514939,11.0,13.0,2.0
0.5638483086639906,0.16089844395465247,1.7574226083660212,1.1745656785113379,11.0,14.0,1.0
0.4169360421131557,2.1953345900276116,1.517305466180351,8.983006178334733,11.0,14.0,2.0
0.6248883693061493,2.724087510658433,1.8680374154797685,15.242498961354725,11.0,14.0,3.0
0.5547684162890736,3.1183167744959466,1.7415376263240328,22.608292742799037,11.0,14.0,4.0
0.5517419283338295,0.13558935878780842,1.7362748515536737,1.1452115259760642,11.0,15.0,1.0
0.5759546889941518,0.10840525337110452,1.778827943993033,1.1144993084834105,11.0,16.0,1.0
0.5759546889941518,0.09006258514270382,1.778827943993033,1.0942427649018294,11.0,17.0,1.0
0.387620680230399,2.02643305113778,1.4734707616808465,7.58697568204881,11.0,17.0,2.0
0.5655450152492937,2.533982708044121,1.760406969955826,12.603602780474555,11.0,17.0,3.0
0.5832185171922485,0.04347397271561215,1.7917960867326173,1.0444328102084883,11.0,18.0,1.0
0.3516877310217862,1.9734926192951638,1.4214645751160582,7.195764717723197,11.0,18.0,2.0
0.5832185171922485,0.023769690942581412,1.7917960867326173,1.0240544417162374,11.0,19.0,1.0
0.44062553420350054,0.13558935878780842,1.5536787938296526,1.1452115259760642,12.0,15.0,1.0
0.4368296641349724,2.134484827215198,1.5477924100419553,8.45269078873147,12.0,15.0,2.0
0.47724733470223796,0.10840525337110452,1.611632007285589,1.1144993084834105,12.0,16.0,1.0
