_RAJ2000,_DEJ2000,src,_ID,_tab1_31,_tab1_32,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
,,II/312/ais,recno=331,,0.0,1960700.0,0.000131,,GALEX:FUV,0.153007,-1.9750295821782332e-08,1.000150765624537,1.000150765624537
331.203026,-12.018889,I/353/gsc242,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,,1296700.0,0.000128,4e-06,GALEX:NUV,0.231357,8.560702228718467e-07,0.993311951366928,0.993311951366928
331.20308,-12.019041,II/358/smss,"-c=331.203079939 -12.019040942,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.00289,2e-05,SkyMapper/SkyMapper:u,0.350058,0.006373065392505925,1.2052130248272683,-1.2052130248272683
331.203094,-12.019073,I/360/syntphot,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,856500.0,0.00909,,Cousins:U,0.350263,0.006373065392505925,0.29889268315262146,0.29889268315262146
331.203026,-12.018889,I/353/gsc242,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,,851920.0,0.0112,0.0,SDSS:u,0.352146,0.006373065392505925,0.4309762839512336,0.4309762839512336
331.20308,-12.019041,II/358/smss,"-c=331.203079939 -12.019040942,eq=ICRS&-c.rs=0.004",,0.0,774500.0,0.00889,5e-05,SkyMapper/SkyMapper:v,0.387347,0.016288802212282606,0.8322611807883097,-0.8322611807883097
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,640580.0,0.0399,0.0119,POSS-II:J,0.468326,0.05195531366759254,0.3021381500043869,-0.3021381500043869
331.203118,-12.019051,II/349/ps1,"-c=331.203118250 -12.019050760,eq=J2000&-c.rs=0.004",2455826.328218,1160.0,628200.0,0.0385,,PAN-STARRS/PS1:g,0.477555,0.05647561038066155,0.4668989788748189,-0.4668989788748189
331.203026,-12.018889,I/353/gsc242,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,,621980.0,0.0386,0.0002,SDSS:g,0.482331,0.0572509557221563,0.48318532437508843,-0.48318532437508843
331.203094,-12.019073,I/360/syntphot,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,548100.0,0.0593,,Cousins:V,0.547345,0.06884476993948889,0.16095730107071576,-0.16095730107071576
331.203044,-12.018893,IV/34/epic,"ID=206103150&-c=331.203044 -12.018893,eq=J2000&-c.rs=0.004",,0.0,541430.0,0.0584,0.0005,Johnson:V,0.554088,0.07195846155947372,0.2321654086120799,-0.2321654086120799
331.203026,-12.018889,I/350/gaiaedr3,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.0626,0.0002,GAIA/GAIA3:G,0.582637,0.07709159573143257,0.2314951061787898,-0.2314951061787898
331.20308,-12.019041,II/358/smss,"-c=331.203079939 -12.019040942,eq=ICRS&-c.rs=0.004",,0.0,496300.0,0.0659,0.0005,SkyMapper/SkyMapper:r,0.604473,0.08064352626662338,0.22372577808422534,-0.22372577808422534
331.203118,-12.019051,II/349/ps1,"-c=331.203118250 -12.019050760,eq=J2000&-c.rs=0.004",2455826.328218,1160.0,489400.0,0.0597,,PAN-STARRS/PS1:r,0.612996,0.08189493086160025,0.37177436259767027,-0.37177436259767027
331.203026,-12.018889,I/345/gaia2,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,0.0,481500.0,0.0635,0.0,GAIA/GAIA2:G,0.623053,0.0832986826552771,0.31179023617099527,-0.31179023617099527
331.203026,-12.018889,J/AJ/164/26/table1,recno=91,,0.0,479900.0,0.0725,0.0005,SDSS:r,0.62513,0.0832986826552771,0.14894738002990499,-0.14894738002990499
331.202959,-12.018736,I/305/out,"GSC2.3===SBEX000166&-c=331.202959 -12.018736,eq=J2000&-c.rs=0.00",,0.0,468430.0,0.0774,0.0314,POSS-II:F,0.640437,0.08800113362851765,0.13696556686636613,-0.13696556686636613
331.203094,-12.019073,I/360/syntphot,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,463430.0,0.0749,,Cousins:R,0.647347,0.08800113362851765,0.17491498152017654,-0.17491498152017654
331.203026,-12.018889,I/353/gsc242,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,,445460.0,0.0398,0.0,Gaia:G,0.673461,0.09212951732365282,1.3148120252966538,-1.3148120252966538
