_RAJ2000,_DEJ2000,src,_ID,_tab1_31,_tab1_32,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
290.263208,44.556444,J/AJ/144/24/kisdr2,recno=12812135,,0.0,825420.0,0.000469,3e-06,INT/WFC:U,0.363451,0.000584372643504021,0.24599713046246463,-0.24599713046246463
290.263215,44.556603,II/336/apass9,"-c=290.263215 +44.556603,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.00111,3e-05,Johnson:B,0.44451,0.0019660928325253096,0.771254877848588,-0.771254877848588
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,640580.0,0.00146,0.00061,POSS-II:J,0.468326,0.0025391946611612393,0.7391743567141257,-0.7391743567141257
290.263283,44.556466,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,628200.0,0.00193,1e-05,PAN-STARRS/PS1:g,0.477555,0.002695257325621165,0.39650636633130526,-0.39650636633130526
290.263208,44.556444,J/AJ/144/24/kisdr2,recno=12812135,,0.0,627050.0,0.00179,0.0,INT/WFC:g,0.478431,0.0026955871347456423,0.5059145925500671,-0.5059145925500671
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,621980.0,0.00179,1e-05,SDSS:g,0.482331,0.0026955871347456423,0.5059145925500671,-0.5059145925500671
290.263308,44.556444,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.00183,1e-05,GAIA/GAIA3:Gbp,0.503948,0.002469068476327637,0.34921777266463244,-0.34921777266463244
290.263308,44.556444,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.00179,0.0,GAIA/GAIA2:Gbp,0.504965,0.002469068476327637,0.37936785666474154,-0.37936785666474154
290.263287,44.556404,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,548100.0,0.00222,,Cousins:V,0.547345,0.0031692385732605428,0.4275850023682371,-0.4275850023682371
290.263215,44.556603,II/336/apass9,"-c=290.263215 +44.556603,eq=J2000&-c.rs=0.004",,0.0,541430.0,0.00208,0.00012,Johnson:V,0.554088,0.0032859653957086144,0.5797910513284329,-0.5797910513284329
290.263308,44.556444,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,514900.0,0.00231,1e-05,GAIA/GAIA3:G,0.582637,0.0034556534785855895,0.4959539552519382,-0.4959539552519382
290.263283,44.556466,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,489400.0,0.00231,0.0,PAN-STARRS/PS1:r,0.612996,0.003621862102145935,0.567905743633755,-0.567905743633755
290.263208,44.556444,J/AJ/144/24/kisdr2,recno=12812135,,0.0,487150.0,0.00257,1e-05,INT/WFC:r,0.615827,0.003621862102145935,0.40928485835640066,-0.40928485835640066
290.263308,44.556444,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,481500.0,0.00234,0.0,GAIA/GAIA2:G,0.623053,0.0036710447671379864,0.5688226238372609,-0.5688226238372609
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,479900.0,0.00267,0.0,SDSS:r,0.62513,0.0036710447671379864,0.3749230954309636,-0.3749230954309636
290.263404,44.556448,I/305/out,"GSC2.3===N2J9001604&-c=290.263404 +44.556448,eq=J2000&-c.rs=0.00",,0.0,468430.0,0.00281,0.00111,POSS-II:F,0.640437,0.0038303742031541342,0.3631225037189987,-0.3631225037189987
290.263287,44.556404,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,463430.0,0.0027,,Cousins:R,0.647347,0.0038303742031541342,0.41865707548068026,-0.41865707548068026
290.263208,44.556444,J/AJ/144/24/kisdr2,recno=12812135,,0.0,456440.0,0.00276,1e-05,INT/WFC:Ha,0.657261,0.003907182619749375,0.4156458453079284,-0.4156458453079284
290.2633,44.55644,I/339/hsoy,"-c=290.2632998873 +44.5564397715,eq=J2000&-c.rs=0.004",,0.0,445460.0,0.00232,0.0,Gaia:G,0.673461,0.003965861912997127,0.7094232601001992,-0.7094232601001992
290.263283,44.556466,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,400800.0,0.00216,0.0,PAN-STARRS/PS1:i,0.748503,0.004038901726493845,0.8698619828450161,-0.8698619828450161
290.263308,44.556444,I/350/gaiaedr3,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,393400.0,0.00297,1e-05,GAIA/GAIA3:Grp,0.762583,0.0040824347857514355,0.3745571528164066,-0.3745571528164066
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,392660.0,0.00304,1e-05,SDSS:i,0.76402,0.0040824347857514355,0.3429061363092547,-0.3429061363092547
290.263208,44.556444,J/AJ/144/24/kisdr2,recno=12812135,,0.0,391170.0,0.00308,1e-05,INT/WFC:i,0.76693,0.0040824347857514355,0.32546586675141165,-0.32546586675141165
290.263308,44.556444,I/345/gaia2,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,0.0,388100.0,0.00302,1e-05,GAIA/GAIA2:Grp,0.772997,0.004089148782249534,0.35402279999824027,-0.35402279999824027
290.263287,44.556404,I/360/syntphot,"-c=290.26328675313 +44.55640389237,eq=ICRS&-c.rs=0.004",,0.0,380160.0,0.00316,,Cousins:I,0.789141,0.0040912701542861404,0.2947057121504398,-0.2947057121504398
290.263288,44.55641,II/349/ps1,"-c=290.263288090 +44.556410210,eq=J2000&-c.rs=0.004",2455968.255266,1160.0,346500.0,0.00313,1e-05,PAN-STARRS/PS1:z,0.865801,0.004012000515406124,0.28178926738571264,-0.28178926738571264
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,332440.0,0.00313,1e-05,SDSS:z,0.902418,0.004099824900863317,0.30984817571872436,-0.30984817571872436
290.263283,44.556466,I/343/gps1,"-c=290.263270813 +44.556443856,eq=ICRS&-c.rs=0.004",,0.0,312400.0,0.00195,0.0,PAN-STARRS/PS1:y,0.960307,0.003967008062281307,1.0343631640499142,-1.0343631640499142
290.263285,44.55645,II/246/out,"2MASS===19210318+4433232 &-c=290.263285 +44.556450,eq=J2000&-c.r",2450972.9207,4700.0,183920.0,0.00274,8e-05,Johnson:H,1.631144,0.003428151006087606,0.2511500437955955,-0.2511500437955955
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,25934.0,0.000162,,WISE:W3,11.567826,9.517458146747333e-05,0.4125025713313278,0.4125025713313278
290.263308,44.556444,I/353/gsc242,"-c=290.26328741781 +44.55640514092,eq=ICRS&-c.rs=0.004",,,13571.0,0.00173,,WISE:W4,22.105961,2.5568100546309763e-05,0.9852207512842878,0.9852207512842878
