_RAJ2000,_DEJ2000,src,_ID,_tab1_31,_tab1_32,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
331.203094,-12.019073,I/360/syntphot,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,687600.0,0.0332,0.00332,Cousins:B,0.4363,0.030931306992059343,0.06833411219324134,0.06833411219324134
331.203124,-12.019026,II/336/apass9,"-c=331.203124 -12.019026,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.0343,0.0008,Johnson:B,0.44451,0.03756637665436625,0.09522965681740711,-0.09522965681740711
331.20308,-12.019041,II/358/smss,"-c=331.203079939 -12.019040942,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.0529,0.0003,SkyMapper/SkyMapper:g,0.497183,0.051956433325218994,0.01783682526200572,0.01783682526200572
331.203026,-12.018889,I/350/gaiaedr3,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.0481,1e-04,GAIA/GAIA3:Gbp,0.503948,0.051956433325218994,0.08017536528089401,-0.08017536528089401
331.203026,-12.018889,I/345/gaia2,"-c=331.20309198100 -12.01906701951,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.0467,1e-04,GAIA/GAIA2:Gbp,0.504965,0.051956433325218994,0.11255744060824473,-0.11255744060824473
331.203094,-12.019073,I/360/syntphot,"-c=331.20309414396 -12.01907283535,eq=ICRS&-c.rs=0.004",,0.0,380160.0,0.0876,0.008760001,Cousins:I,0.789141,0.09663239916404703,0.10310957694629554,-0.10310957694629554
331.203118,-12.019051,II/349/ps1,"-c=331.203118250 -12.019050760,eq=J2000&-c.rs=0.004",2455826.328218,1160.0,312400.0,0.0856,0.008560001,PAN-STARRS/PS1:y,0.960307,0.09648155841409993,0.1271209621066425,-0.1271209621066425
331.203047,-12.018885,II/246/out,"2MASS===22044873-1201079 &-c=331.203047 -12.018885,eq=J2000&-c.r",2450965.9388,4700.0,239830.0,0.0907,0.0005,Johnson:J,1.250886,0.09357816490037123,0.03173279337602911,-0.03173279337602911
331.203047,-12.018885,II/246/out,"2MASS===22044873-1201079 &-c=331.203047 -12.018885,eq=J2000&-c.r",2450965.9388,4700.0,136890.0,0.0535,0.0006,Johnson:K,2.191541,0.05789543871360666,0.08215772512796422,-0.08215772512796422
331.203098,-12.019068,II/363/unwise,"-c=331.2030982 -12.0190676,eq=J2000&-c.rs=0.004",,0.0,89490.0,0.0261,0.00261,WISE:W1,3.35233,0.027718914153416114,0.062027347283918496,-0.062027347283918496
331.203098,-12.019068,II/363/unwise,"-c=331.2030982 -12.0190676,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.0131,0.0013100001,WISE:W2,4.603204,0.01203676029970217,0.08116334279872281,0.08116334279872281
331.203052,-12.018992,II/311/wise,"WISE===J220448.73-120108.3&-c=331.203052 -12.018992,eq=J2000&-c.",,0.0,25934.0,0.0023,0.00015,WISE:W3,11.567826,0.0025315558642497525,0.10067643829352377,-0.10067643829352377
