_RAJ2000,_DEJ2000,src,_ID,_tab15_64,_tab15_65,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
,,II/312/ais,recno=155,,0.0,1960700.0,0.000413,,GALEX:FUV,0.153007,6.225206413944145e-08,0.9998492686104057,0.9998492686104057
155.871884,-43.834955,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,1296700.0,0.000398,1.5e-05,GALEX:NUV,0.231357,1.1907350706004602e-06,0.9970082033685392,0.9970082033685392
155.872,-43.834946,II/358/smss,"-c=155.871999979 -43.834946036,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.0132,1e-04,SkyMapper/SkyMapper:u,0.350058,0.011233518667302137,0.148975853926354,0.148975853926354
155.871939,-43.834924,I/360/syntphot,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,856500.0,0.0347,,Cousins:U,0.350263,0.011233518667302137,0.6762674623319715,0.6762674623319715
155.871884,-43.834955,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,851920.0,0.0364,0.0002,SDSS:u,0.352146,0.011233518667302137,0.6913868624837021,0.6913868624837021
155.871879,-43.834957,I/337/tgasptyc,recno=1495847,,,713280.0,0.11,0.005,HIP:BT,0.420592,0.06241813275718158,0.4325624264054479,0.4325624264054479
155.871939,-43.834924,I/360/syntphot,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,687600.0,0.149,,Cousins:B,0.4363,0.08936658307789795,0.4002242904802929,0.4002242904802929
155.871869,-43.834826,II/336/apass9,"-c=155.871869 -43.834826,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.156,0.005,Johnson:B,0.44451,0.1158483416627167,0.25738244056096105,0.25738244056096105
155.872,-43.834946,II/358/smss,"-c=155.871999979 -43.834946036,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.256,0.001,SkyMapper/SkyMapper:g,0.497183,0.1970768885902822,0.2301684405092472,0.2301684405092472
155.871885,-43.834956,I/350/gaiaedr3,"-c=155.87193939794 -43.83492372194,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.24,0.001,GAIA/GAIA3:Gbp,0.503948,0.1970768885902822,0.17884627918627494,0.17884627918627494
155.871884,-43.834955,I/345/gaia2,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,0.0,594100.0,0.234,0.0,GAIA/GAIA2:Gbp,0.504965,0.1970768885902822,0.15779106496126913,0.15779106496126913
155.871879,-43.834957,I/337/tgasptyc,recno=1495847,,,563630.0,0.28,0.008,HIP:VT,0.532264,0.22866174506488204,0.1833509139594269,0.1833509139594269
155.871879,-43.834959,J/MNRAS/471/770/table1,recno=1094983,,0.0,499420.0,0.28,,Subaru/Suprime:IA598,0.600697,0.36048317510445743,0.2874399056061052,-0.2874399056061052
155.871884,-43.834955,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,445460.0,0.199,0.0,Gaia:G,0.673461,0.4337050003000932,1.1794221016162527,-1.1794221016162527
155.872,-43.834946,II/358/smss,"-c=155.871999979 -43.834946036,eq=ICRS&-c.rs=0.004",,0.0,388700.0,0.33,0.005,SkyMapper/SkyMapper:i,0.771803,0.5034552571718061,0.5256219308069465,-0.5256219308069465
155.872,-43.834946,II/358/smss,"-c=155.871999979 -43.834946036,eq=ICRS&-c.rs=0.004",,0.0,329800.0,0.314,0.007,SkyMapper/SkyMapper:z,0.909642,0.5521599370818407,0.7584710784546019,-0.7584710784546019
155.871884,-43.834955,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,241960.0,0.0913,0.0,2MASS:J,1.239874,0.5814556250849632,5.368626555428896,-5.368626555428896
155.871957,-43.834918,II/359/vhs_dr4,"-c=155.871957 -43.834918,eq=J2000&-c.rs=0.004",,,240530.0,0.264,0.0,VISTA:J,1.247246,0.6003156351100692,1.2739228725869016,-1.2739228725869016
155.871957,-43.834918,II/359/vhs_dr4,"-c=155.871957 -43.834918,eq=J2000&-c.rs=0.004",,,140500.0,0.148,0.0,VISTA:Ks,2.135231,0.44973572894104724,2.0387548861154206,-2.0387548861154206
155.871884,-43.834955,I/353/gsc242,"-c=155.87193770620 -43.83492476230,eq=ICRS&-c.rs=0.004",,,138550.0,0.043,0.0,2MASS:Ks,2.165283,0.44286635827650933,9.299217284567913,-9.299217284567913
155.871938,-43.834944,II/363/unwise,"-c=155.8719381 -43.8349436,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.102,0.0,WISE:W2,4.603204,0.08739533346276175,0.14318298924499503,0.14318298924499503
155.871995,-43.834929,II/311/wise,"WISE===J102329.27-435005.7&-c=155.871995 -43.834929,eq=J2000&-c.",,0.0,13571.0,0.00595,0.0011,WISE:W4,22.105961,0.005213990006778394,0.12369917871500577,0.12369917871500577
