_RAJ2000,_DEJ2000,src,_ID,_tab15_64,_tab15_65,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
159.409398,-40.888284,II/358/smss,"-c=159.409398079 -40.888283968,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.0454,0.0002,SkyMapper/SkyMapper:u,0.350058,0.05597496682495817,0.23292875458317525,-0.23292875458317525
159.409323,-40.888256,I/360/syntphot,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,856500.0,0.14,,Cousins:U,0.350263,0.05597496682495817,0.6001788100953844,0.6001788100953844
159.409161,-40.888342,I/353/gsc242,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,,851920.0,0.126,0.0,SDSS:u,0.352146,0.05597496682495817,0.5557542386931079,0.5557542386931079
159.409228,-40.888344,I/239/tyc_main,recno=806023,,0.0,713280.0,0.307,0.008,HIP:BT,0.420592,0.2030956855124605,0.33845055993695883,0.33845055993695883
159.409323,-40.888256,I/360/syntphot,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,687600.0,0.381,,Cousins:B,0.4363,0.2674250244378156,0.2980970711203834,0.2980970711203834
159.409328,-40.888298,II/336/apass9,"-c=159.409328 -40.888298,eq=J2000&-c.rs=0.004",,0.0,674900.0,0.271,0.004,Johnson:B,0.44451,0.32395565356682104,0.19540832520992263,-0.19540832520992263
159.409161,-40.888342,I/353/gsc242,"-c=159.40931831824 -40.88825901876,eq=ICRS&-c.rs=0.004",,,621980.0,0.189,,SDSS:g,0.482331,0.4904941164570532,1.5952070259462767,-1.5952070259462767
159.409398,-40.888284,II/358/smss,"-c=159.409398079 -40.888283968,eq=ICRS&-c.rs=0.004",,0.0,603400.0,0.561,0.007,SkyMapper/SkyMapper:g,0.497183,0.4454021956453214,0.20605667740798875,0.20605667740798875
159.409162,-40.888343,I/350/gaiaedr3,"-c=159.40932335926 -40.88825626452,eq=ICRS&-c.rs=0.004",,0.0,595300.0,0.498,0.001,GAIA/GAIA3:Gbp,0.503948,0.4454021956453214,0.1056180737543073,0.1056180737543073
159.409159,-40.888342,I/337/tgasptyc,recno=1483465,,,563630.0,0.584,0.011,HIP:VT,0.532264,0.49373773835010304,0.15455865478324604,0.15455865478324604
