_RAJ2000,_DEJ2000,src,_ID,_tab1_86,_tab1_87,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
129.688355,-13.256535,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,857000.0,0.0119,0.0011900001,SkyMapper/SkyMapper:u,0.350058,0.011770955637860254,0.010844086835955094,0.010844086835955094
129.688577,-13.256686,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,628200.0,0.275,0.004,PAN-STARRS/PS1:g,0.477555,0.28459297998569205,0.03488354115383806,-0.03488354115383806
129.688577,-13.256686,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,621980.0,0.275,0.004,SDSS:g,0.482331,0.29878180052244785,0.08647925107827951,-0.08647925107827951
129.688741,-13.25678,J/AJ/154/259/table2,recno=229789,,0.0,541430.0,0.498,0.008,Johnson:V,0.554088,0.45103511683360425,0.09430698693878925,0.09430698693878925
129.688355,-13.256535,II/358/smss,"-c=129.688354969 -13.256535053,eq=ICRS&-c.rs=0.004",,0.0,496300.0,0.593,0.002,SkyMapper/SkyMapper:r,0.604473,0.5722221104049788,0.03503859111905084,0.03503859111905084
129.688583,-13.256689,J/MNRAS/471/770/table2,recno=38479,,0.0,350260.0,0.933,0.09330001,Subaru/Suprime:IA856,0.856507,1.019503479085281,0.09271537871756762,-0.09271537871756762
129.688577,-13.256686,II/349/ps1,"-c=129.688576670 -13.256686100,eq=J2000&-c.rs=0.004",2451999.939745,1160.0,346500.0,1.1,0.03,PAN-STARRS/PS1:z,0.865801,1.0303632637027278,0.06330614420890365,0.06330614420890365
129.688577,-13.256686,I/353/gsc242,"-c=129.68857667000 -13.25668610000,eq=ICRS&-c.rs=0.004",,,332440.0,1.1,0.03,SDSS:z,0.902418,1.0612524018346132,0.03522511015219329,0.03522511015219329
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,239830.0,1.4,0.03,Johnson:J,1.250886,1.2630145667734793,0.09784672265536458,0.09784672265536458
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,183920.0,1.51,0.07,Johnson:H,1.631144,1.5402275317631606,0.02001823939788914,-0.02001823939788914
129.688589,-13.256694,I/280B/ascc,recno=1380425,,0.0,181750.0,1.53,0.07,2MASS:H,1.650619,1.5398465516197455,0.0064356734732686745,-0.0064356734732686745
129.688589,-13.256694,I/280B/ascc,recno=1380425,,0.0,138550.0,1.12,0.02,2MASS:Ks,2.165283,1.031584996644645,0.07894197120294807,0.07894197120294807
129.688604,-13.256692,II/246/out,"2MASS===08384526-1315240 &-c=129.688604 -13.256692,eq=J2000&-c.r",2451214.6879,4700.0,136890.0,1.09,0.02,Johnson:K,2.191541,1.0170518873169088,0.06692490259434192,0.06692490259434192
129.688423,-13.256582,II/311/wise,"WISE===J083845.22-131523.6&-c=129.688423 -13.256582,eq=J2000&-c.",,0.0,25934.0,0.0492,0.0007,WISE:W3,11.567826,0.04530677776389235,0.07913050290958025,0.07913050290958025
