Name,Plx,Teff,angDia,model,store,RA,DEC
TIC121113728,1.57451,5747,0.0139,ck04,n,287.0664109,41.8749712
TIC121114760,1.34537,5071,0.0098,ck04,n,287.2726117,41.6356009
TIC121123361,4.4797,4671,0.0279,ck04,n,287.2187273,38.8625366
TIC121123737,0.839467,5828,0.0079,ck04,n,287.2356828,38.7540824
TIC121214078,2.11608,5809,0.027,ck04,n,287.3629145,38.6497341
TIC121214185,9.18591,6305,0.1623,ck04,n,287.3619673,38.7141384
TIC121214909,1.1944,5475,0.0121,ck04,n,287.3078999,39.1447097
TIC121215172,1.77266,5053,0.0127,ck04,n,287.302772,39.2896399
TIC121215333,0.950059,5530,0.0079,ck04,n,287.2924737,39.3832039
TIC121275496,2.28804,5183,0.0168,ck04,n,287.5296372,38.8945065
TIC121276638,4.3027,5687,0.0428,ck04,n,287.4786474,38.2290751
TIC121276933,0.688804,5906,0.0067,ck04,n,287.4441104,38.0884183
TIC121327187,2.56086,5746,0.0336,ck04,n,287.6550196,39.2441716
TIC121329580,1.5543,5190,0.013,ck04,n,287.7069031,40.6852161
TIC121333305,1.60837,4380,0.0079,ck04,n,287.8264561,40.6965988
TIC121333541,1.8285,6188,0.0206,ck04,n,287.8570173,40.5471909
TIC121458206,0.931192,6012,0.0127,ck04,n,287.9757213,39.087168
TIC121458707,2.54441,4096,0.0125,ck04,n,287.8915707,39.3390979
TIC121460918,0.526944,5751,0.007,ck04,n,287.8971066,40.6378141
TIC121465371,0.640381,6221,0.0079,ck04,n,288.0955917,40.365909
TIC121465404,1.26611,5237,0.0098,ck04,n,288.0297157,40.3441934
TIC121467823,1.04516,5839,0.0134,ck04,n,288.1336793,38.9968923
TIC121490076,21.6104,4930,0.1487,ck04,n,343.5723794,-43.0102291
TIC121598758,1.09362,5560,0.0096,ck04,n,288.2341025,40.520897
TIC121603761,1.78829,5350,0.014,ck04,n,288.4714969,40.2698157
TIC121603794,3.12921,5884,0.0329,ck04,n,288.4505905,40.2452006
TIC121603852,1.03044,5608,0.0091,ck04,n,288.3969751,40.2131892
TIC121656582,1.9014832,5863,0.0228,ck04,n,288.5493683,38.5651973
TIC121660143,1.26103,4954,0.0084,ck04,n,288.5387145,40.6160545
TIC121660708,4.34425,5685,0.0416,ck04,n,288.5308924,40.942373
TIC121660779,1.19588,6214,0.0125,ck04,n,288.5743991,40.9886069
TIC121660826,2.98734,4712,0.02,ck04,n,288.5970695,41.0363254
TIC121729607,0.471886,5612,0.004,ck04,n,288.5099994,41.3017465
TIC121731834,3.26384,6211,0.0428,ck04,n,288.6887221,41.1511076
TIC121732589,0.701622,5682,0.0063,ck04,n,288.7710137,40.6641771
TIC121733900,1.66467,4961,0.0118,ck04,n,288.6949475,39.8830802
TIC121734006,2.0009509,4815,0.0134,ck04,n,288.6689428,39.8239935
TIC121734202,1.54443,5813,0.0151,ck04,n,288.6986828,39.7082044
TIC121734474,1.81837,5334,0.014,ck04,n,288.7549882,39.563696
TIC121785676,0.6585396,5842,0.0063,ck04,n,288.8206058,39.5228712
TIC121785939,0.808926,5918,0.0082,ck04,n,288.9163997,39.5947523
TIC121786521,0.792592,5845,0.0074,ck04,n,288.883474,39.7446547
TIC121786630,1.95761,5526,0.0164,ck04,n,288.8119782,39.7706431
TIC121787669,3.55464,3715,0.0165,ck04,n,288.8117314,40.0332311
TIC121789066,0.993715,6160,0.0116,ck04,n,288.8229001,40.38901
TIC121795464,1.26317,5343,0.0099,ck04,n,288.99418,41.6333125
TIC12181371,8.44508,4356,0.0581,ck04,n,290.2705419,-19.6908744
TIC121865123,2.14073,5876,0.0211,ck04,n,289.0739641,40.3660239
TIC121865605,1.25848,6130,0.021,ck04,n,289.0330532,40.0869182
TIC121865656,1.9923,6009,0.0276,ck04,n,288.9845512,40.0644857
TIC121943724,2.06347,5883,0.0326,ck04,n,289.0860607,41.5630224
TIC121943923,0.728947,5749,0.0058,ck04,n,289.1041643,41.6901138
TIC121943952,1.37405,4906,0.0092,ck04,n,289.2202147,41.7064385
TIC121944984,1.56588,5865,0.0202,ck04,n,289.3644209,41.5332589
TIC121988890,1.54984,4841,0.0105,ck04,n,289.3154576,39.1532911
TIC122062591,1.11863,5541,0.0097,ck04,n,289.4381201,39.2703594
TIC122062725,0.902756,5931,0.0098,ck04,n,289.4066969,39.338813
TIC122063843,2.65893,5444,0.0208,ck04,n,289.4179128,39.9450757
TIC122063936,1.08646,5216,0.0081,ck04,n,289.3770051,40.0010791
TIC122065885,12.6475,3208,0.0353,nextgen,n,289.3765441,41.1580845
TIC122066167,2.3509,5345,0.0184,ck04,n,289.444752,41.3179652
TIC122066280,1.1737,5743,0.0108,ck04,n,289.3834807,41.3926651
TIC122066892,2.4532,5557,0.0285,ck04,n,289.3945523,41.7822597
TIC122066949,3.58381,3722,0.017,ck04,n,289.5085612,41.8120234
TIC122068161,1.7622795,4632,0.0123,ck04,n,289.5530051,41.2978532
TIC122069243,2.98745,4290,0.0197,ck04,n,289.6252192,40.7087351
TIC122070274,1.12523,5700,0.0106,ck04,n,289.5483989,40.1641457
TIC122136712,1.93693,4700,0.0126,ck04,n,289.920676,41.5427758
TIC122137575,1.48438,5048,0.0106,ck04,n,289.8707469,41.0407482
TIC122139228,1.46227,4647,0.0097,ck04,n,289.9308779,40.0977109
TIC122224871,0.534883,6159,0.0061,ck04,n,290.0004154,38.5398551
TIC122225232,2.2289,4991,0.0609,ck04,n,290.1072124,38.7022694
TIC122293639,1.09917,6194,0.0132,ck04,n,290.0907893,39.8169085
TIC122294261,0.690806,5561,0.0076,ck04,n,289.9793241,40.1427848
TIC122294985,1.60877,4673,0.0108,ck04,n,290.1065581,40.4906242
TIC122297877,0.413424,5847,0.0037,ck04,n,290.2151459,41.775981
TIC122298422,0.393109,5676,0.0034,ck04,n,290.1498822,41.4645625
TIC122298563,0.5971967,5860,0.0058,ck04,n,290.1314231,41.3814345
TIC122298677,0.4289015,5867,0.0052,ck04,n,290.2376224,41.3313637
TIC122300177,2.41265,4901,0.0162,ck04,n,290.2651662,40.5484937
TIC122374509,1.58636,5771,0.0158,ck04,n,290.3286455,37.7231188
TIC122374620,2.22611,5094,0.0168,ck04,n,290.2964214,37.7494271
TIC122375047,4.54651,5541,0.0364,ck04,n,290.4209694,37.8516556
TIC122376177,0.836127,5800,0.0083,ck04,n,290.4132621,38.3437283
TIC122376998,1.09019,5349,0.0083,ck04,n,290.3336142,38.7282722
TIC122441003,2.07728,5950,0.0269,ck04,n,290.3926795,40.2849074
TIC122442334,2.9516,5050,0.0214,ck04,n,290.39624,41.0399229
TIC122443195,1.40312,5226,0.0106,ck04,n,290.2796734,41.5150499
TIC122445076,0.752895,5835,0.0077,ck04,n,290.5104788,41.244743
TIC122446089,1.19383,5882,0.0119,ck04,n,290.5663221,40.6920756
TIC122446315,0.704174,5858,0.0058,ck04,n,290.4617926,40.5624966
TIC122446866,0.754179,5468,0.0092,ck04,n,290.4999139,40.2877161
TIC122447896,0.572829,6572,0.0066,ck04,n,290.4931471,39.7855117
TIC122447994,0.804038,6035,0.0091,ck04,n,290.477406,39.7319975
TIC122449752,1.45375,5740,0.0133,ck04,n,290.5294799,38.9427306
TIC122450088,1.5798,6090,0.0187,ck04,n,290.4950939,38.7954956
