Source,RSTAR_dr2,RA_S,DEC_S,PLX_S,PLX_ERR_S,FLUX_U_S,FLUX_ERR_U_S,FLUX_B_S,FLUX_ERR_B_S,FLUX_V_S,FLUX_ERR_V_S,FLUX_R_S,FLUX_ERR_R_S,FLUX_G_S,FLUX_ERR_G_S,FLUX_I_S,FLUX_ERR_I_S,FLUX_J_S,FLUX_ERR_J_S,FLUX_H_S,FLUX_ERR_H_S,FLUX_K_S,FLUX_ERR_K_S,DIA_S,DIA_UNIT_S,DIST_S,DIST_UNIT_S,SOURCE_ID_2,RA_dr2,DEC_dr2,PLX_dr2,PLX_ERR_dr2,TEFF_dr2,TEFF_NEG_dr2,TEFF_POS_dr2,RSTAR_NEG_dr2,RSTAR_POS_dr2,LSTAR_dr2,LSTAR_NEG_dr2,LSTAR_POS_dr2,PLX_WAVG,PLX_ERR_WAVG,Teff_bl,Teff_bl_err,Rstar_bl,Rstar_bl_err,ang_dia_bl,ang_dia_bl_err,plx_bl,plx_bl_err,Walkers,Iterations,Burn In,Best Plx,Parallax,Parallax_err,Teff,u-(Teff),u+(Teff),u%(Teff),Teff_delta_bl,Radius,u-(Radius),u+(Radius),u%(Radius),Radius_delta_bl,scale,u-(scale),u+(scale),apprad,u-(apprad),u+(apprad),angdia,u-(angdia),u+(angdia),u%(angdia),angdia_delta_bl,Good Fit Points,Bad Points,Fit Error,Fit Quality,WL_min,WL_max,VizSed_Error,Baseln,Tau_Teff,Tau_Radius,Stored,Model,Name,Rsn,Rsn_err-,Rsn_err+,%Rsn_err-,%Rsn_err+,Runtime
TIC120819731,1.2081043,286.25441849962,41.02187584209,0.7899,0.0171,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0040966999665164,3621.539279498136,3630.7805477010033,3630.7805477010033,0.0108442592144029,3554.67581984433,0.0135893863009306,3541.604001980096,0.0149417030388794,3512.36790967016,,,1265.983,pc,Gaia DR2 2100882501225436032,286.2543961581814,41.02183726339381,0.7601081036032639,0.0196589475482364,5753.0,5604.0645,5983.84,1.1166916,1.1166916,1.440393,1.3386024,1.3386024,0.7770679903248652,0.0129020442967658,6000,122.0,1.13,0.0,0.008,0.0002,0.760108,0.0196589,50,5000,1000,Simbad,0.7899,0.0171000007539987,5891,77,80,1.4,-1.8,1.11,0.0254,0.0269,2.4,-1.8,7.69e-07,0.0445,0.046,0.000877,25.4,26.2,0.00815,0.00026,0.00026,3.2,1.9,22,22,0.11,0.0536083993957101,0.436,3.55,None,NASA,1.843,1.829,New,nextgen,TIC120819731,1.11,0.0254,0.0269,0.0228828828828828,0.0242342342342342,0 days 00:10:12.812109
TIC120821730,0.954423,286.33012038652,39.68316353256,0.8906,0.0266,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0019358269486207,3621.515931245626,3630.7805477010033,3630.7805477010033,0.0068485724093741,3548.133891118337,0.0096382939612589,3515.604404800473,0.0115451565449725,3502.67626654221,,,1122.839,pc,Gaia DR2 2100656826462352128,286.3300782522025,39.68312757684317,0.9311907094505832,0.0330029832136443,4974.72,4875.8,5059.52,0.92269796,0.92269796,0.50263315,0.4603616,0.4603616,0.9065845562473496,0.0207104802412469,5401,159.0,0.78,0.13,0.0068,0.0012,0.931191,0.033003,50,5000,1000,Simbad,0.8906,0.0265999995172023,5164,50,51,1.0,-4.4,0.91,0.0204,0.0218,2.4,16.7,6.57e-07,0.0528,0.0541,0.000811,32.6,33.4,0.00754,0.00028,0.00029,3.8,10.9,33,10,0.2400000000000001,0.0874081219773385,0.436,3.55,None,NASA,1.807,1.804,New,nextgen,TIC120821730,0.91,0.0204,0.0218,0.0224175824175824,0.0239560439560439,0 days 00:11:19.495858
TIC120825510,1.2253767,286.34429075283,37.41197478733,1.1818,0.014,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0104144664184054,3621.5426150860144,3630.7805477010033,3630.7805477010033,0.0260375415256749,3551.4033491464365,0.0340721785044024,3551.4033491464365,0.0362076131250992,3557.951305988067,,,846.167,pc,Gaia DR2 2099073667159859840,286.3442954268307,37.411934661616286,1.1735837783047496,0.0267837803498329,5800.6665,5583.68,5872.0,1.1957856,1.1957856,1.5316007,1.4443148,1.4443148,1.1800368832329953,0.0124072729919172,6143,81.37,1.23,0.18,0.0134,0.002,1.17358,0.0267838,50,5000,1000,Simbad,1.1818,0.0140000004321336,6208,80,92,1.5,1.1,1.17,0.0271,0.0278,2.4,-4.9,1.91e-06,0.0368,0.0375,0.00138,13.3,13.6,0.0129,0.00033,0.00034,2.6,-3.7,12,39,0.11,0.0570468682383671,0.35,11.6,None,NASA,1.987,1.884,New,nextgen,TIC120825510,1.17,0.0271,0.0278,0.0231623931623931,0.0237606837606837,0 days 00:10:09.643008
TIC120891972,1.1863834,286.49042660491,38.37491476708,1.0594,0.0159,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0053229195499845,3621.549286270987,3630.7805477010033,3630.7805477010033,0.0159808576267333,3551.4033491464365,0.0226986437337828,3541.604001980096,0.0245923406348779,3548.133891118337,,,943.931,pc,Gaia DR2 2099980386293545216,286.4904589119306,38.37487199217807,1.0461627923398706,0.0217447315289173,5336.0,5309.0,5450.0,1.1372702,1.1372702,1.0280354,0.97144043,0.97144043,1.05478823207435,0.0128348140583193,5598,127.6,0.92,0.12,0.009,0.0012,1.04616,0.0217447,50,5000,1000,Simbad,1.0594,0.0159000009298324,5285,44,42,0.8,-5.6,1.17,0.0243,0.0264,2.3,27.2,1.54e-06,0.0362,0.0383,0.00124,14.6,15.4,0.0115,0.0003,0.00031,2.7,27.8,37,7,0.3700000000000002,0.2305642785907155,0.35,4.6,None,NASA,1.824,1.833,New,ck04,TIC120891972,1.17,0.0243,0.0264,0.0207692307692307,0.0225641025641025,0 days 00:11:41.607698
TIC120892579,1.2452214,286.40232127748,38.73854115296,1.4935,0.0099,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0179474724727313,3621.552621868082,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0564936736625926,3531.831700100824,0.057016415208559,3531.831700100824,,,669.568,pc,Gaia DR2 2100001036496903040,286.4023452446661,38.73856740984986,1.4931747980116303,0.0138706491760026,5842.0,5587.197,5916.5,1.2140594,1.2140594,1.6271741,1.580629,1.580629,1.4933902461848565,0.0080580508586409,5824,100.0,1.26,0.0389,0.0175,0.00055,1.49317,0.0138706,50,5000,1000,Simbad,1.4935,0.0098999999463558,5829,59,62,1.1,0.1,1.25,0.0256,0.0272,2.2,-0.8,3.49e-06,0.0304,0.0322,0.00187,8.14,8.62,0.0174,0.00037,0.00039,2.2,-0.6,22,14,0.11,0.0440049513236102,0.35,4.5,None,Initial SEDmc Results,1.837,1.83,New,ck04,TIC120892579,1.25,0.0256,0.0272,0.02048,0.0217599999999999,0 days 00:15:04.105142
TIC120896927,0.8467337,36.86824219719,-27.63520465434,22.2922,0.016,3630.7805477010033,3630.7805477010033,0.380189463109692,3531.831700100824,0.8394598685428372,3564.511335730064,3630.7805477010033,3630.7805477010033,1.0327706949477689,3621.56929989964,3630.7805477010033,3630.7805477010033,3.457801120365113,3567.7958848932244,4.720629749204952,3518.8438822210805,5.525860799118669,3571.0834606320323,,,44.815,pc,Gaia DR2 5068777809824976256,36.8678845697021,-27.63611714870164,22.284789701484076,0.0348639579883727,5165.5,5099.4,5211.3335,0.8319052,0.8319052,0.4598729,0.458773,0.458773,22.29091081054407,0.014541767955383,5125,50.0,0.86,0.02,0.1783,0.0042,22.2848,0.034864,50,5000,1000,Simbad,22.2922,0.0160000007599592,5119,59,61,1.2,-0.1,0.861,0.0198,0.0206,2.4,0.1,0.000368,0.0325,0.0339,0.0192,0.847,0.884,0.179,0.0041,0.0043,2.4,0.4,12,19,0.15,0.0519018967191899,0.445,11.6,None,NASA,1.813,1.843,New,nextgen,TIC120896927,0.861,0.0198,0.0206,0.0229965156794425,0.0239256678281068,0 days 00:10:03.251331
TIC120899945,0.6644551,286.5656860171599,41.80842462899,1.643,0.0233,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0026615885215755,3621.502589010854,3630.7805477010033,3630.7805477010033,0.0107547411072809,3551.4033491464365,0.0171237944531047,3541.604001980096,0.0183653873050528,3531.831700100824,,,608.643,pc,Gaia DR2 2103934504985435904,286.56569324500606,41.80841677812215,1.637732271889911,0.0306730979457005,4891.9937,4842.0,5016.0,0.6320077,0.6320077,0.22780831,0.21751048,0.21751048,1.6410725611202472,0.0185539453675856,4634,195.0,0.677,0.0269,0.0103,0.00044,1.63773,0.0306731,50,5000,1000,Simbad,1.643,0.0232999995350837,4604,44,49,1.1,-0.6,0.718,0.0191,0.0199,2.8,6.1,1.39e-06,0.0426,0.044,0.00118,18.1,18.7,0.011,0.00033,0.00034,3.1,6.8,12,30,0.14,0.0953676204184166,0.363,3.55,None,Initial SEDmc Results,1.862,1.883,New,ck04,TIC120899945,0.718,0.0191,0.0199,0.0266016713091922,0.0277158774373259,0 days 00:13:53.018206
TIC120960812,1.3817441,286.63839223114,39.48787742364,4.1456,0.0113,3630.7805477010033,3630.7805477010033,0.107646551619979,3404.0818960756146,0.1786486821640595,3435.5794832423744,0.2093149127118613,3561.229810356255,0.2025867432954438,3621.559293071489,3630.7805477010033,3630.7805477010033,0.4512321387105557,3564.511335730064,0.5587276510056047,3564.511335730064,0.579161904804192,3574.374059603301,1820000.0,km,241.22,pc,Gaia DR2 2100451630105041152,286.6383905141967,39.487903774512894,4.082241920675285,0.023579090318881,6148.2007,6027.3335,6478.4004,1.2444805,1.2444805,2.4577746,2.4329634,2.4329634,4.133766409984631,0.0101902374446053,6103,47.0,1.32,0.02,0.0501,0.0008,4.08224,0.0235791,50,5000,1000,Simbad,4.1456,0.0113000003620982,6113,68,76,1.2,0.2,1.33,0.0282,0.0295,2.2,0.8,3.04e-05,0.0302,0.0316,0.00551,2.74,2.87,0.0513,0.0011,0.0011,2.1,2.4,22,17,0.11,0.0553538837572789,0.445,4.6,None,NASA,1.754,1.77,New,nextgen,TIC120960812,1.33,0.0282,0.0295,0.0212030075187969,0.0221804511278195,0 days 00:11:03.557572
TIC120961424,1.6676072,286.58315715221,39.07718378253,1.0406,0.0106,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0161816167729675,3621.559293071489,3630.7805477010033,3630.7805477010033,0.0441367100043042,3561.229810356255,0.0573851995572355,3557.951305988067,0.059374526425695,3554.67581984433,,,960.984,pc,Gaia DR2 2100389610777053056,286.5831894290227,39.07725823653379,0.9951425448770704,0.0161215622526548,6014.715,5670.3335,6306.0,1.5171059,1.5171059,3.2790072,3.1268735,3.1268735,1.0268796593526843,0.0088570074984044,5946,56.0,1.69,0.42,0.0156,0.0039,0.995143,0.0161216,50,5000,1000,Simbad,1.0406,0.0105999996885657,5725,83,86,1.5,-3.7,1.75,0.0531,0.0542,3.1,3.6,3.32e-06,0.0453,0.0461,0.00182,12.4,12.7,0.0169,0.00054,0.00055,3.3,8.3,22,17,0.15,0.0796165639229144,0.35,2.19,None,NASA,1.829,1.839,New,ck04,TIC120961424,1.75,0.0531,0.0542,0.0303428571428571,0.0309714285714285,0 days 00:10:15.174467
TIC120962548,0.5991928,286.55807956547,38.40532916868,2.0999,0.1018,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0058993216812381,3620.675472658791,3630.7805477010033,3630.7805477010033,0.023099359068426,3554.67581984433,0.0350267769669635,3544.8674429865373,0.0399576590312373,3561.229810356255,,,476.213,pc,Gaia DR2 2099980111415659776,286.5580127652141,38.40524182114866,2.686881607395609,0.1652165348513891,4933.377,4850.7476,5201.803,0.5389486,0.5389486,0.19160421,0.16777754,0.16777754,2.2614260995596998,0.086668766536043,4956,119.0,0.765,0.0197,0.0149,0.00082,2.6868816,0.1652165,50,5000,1000,Simbad,2.0999,0.1018000021576881,4903,51,56,1.1,-1.1,0.778,0.0194,0.0202,2.6,1.7,2.67e-06,0.0771,0.0778,0.00163,23.6,23.8,0.0152,0.00083,0.00084,5.5,2.0,19,25,0.11,0.0371632648402107,0.478,2.19,None,Initial SEDmc Results,1.843,1.822,New,ck04,TIC120962548,0.778,0.0194,0.0202,0.0249357326478149,0.0259640102827763,0 days 00:15:20.566069
TIC120963454,0.5519736,286.59425670384,37.89125619533,3.4333,0.0301,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0015138367379285,3621.439214066956,3630.7805477010033,3630.7805477010033,0.0123481014582795,3548.133891118337,0.0217770916024849,3538.343565330621,0.0268905642094632,3541.604001980096,679000.0,km,291.265,pc,Gaia DR2 2099183583961614208,286.5942528955377,37.89128358025346,3.4213291757044324,0.0417493306698861,3720.0,3651.0,4065.6667,0.46210495,0.46210495,0.052565772,0.051113844,0.051113844,3.4292057689276407,0.0244159520850592,3638,43.0,0.486,0.0141,0.0155,0.00047,3.42133,0.0417493,50,5000,1000,Simbad,3.4333,0.0300999991595745,3652,62,68,1.9,0.4,0.521,0.0192,0.0198,3.8,7.2,3.2e-06,0.0536,0.0552,0.00179,15.0,15.4,0.0166,0.00063,0.00065,3.9,7.1,13,32,0.21,0.1419655271403218,0.436,11.6,None,Initial SEDmc Results,1.956,1.928,New,ck04,TIC120963454,0.521,0.0192,0.0198,0.036852207293666,0.038003838771593,0 days 00:15:08.199226
TIC120964116,1.2343761,286.62574544875,37.53730497041,1.7483,0.0106,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.027175285663854,3621.545950676964,3630.7805477010033,3630.7805477010033,0.0636209401279711,3561.229810356255,0.0805378271418895,3557.951305988067,0.0841007523590792,3561.229810356255,,,571.984,pc,Gaia DR2 2099122522408063232,286.6257591353654,37.53731304379771,1.758530112716785,0.0261813946140424,5989.0,5935.5,6015.0,1.223728,1.223728,1.7660661,1.7191144,1.7191144,1.7497407354946848,0.0098252745549221,6155,64.75,1.22,0.1,0.02,0.0017,1.75853,0.0261814,50,5000,1000,Simbad,1.7483,0.0105999996885657,6196,68,80,1.3,0.7,1.2,0.0227,0.0226,1.9,-1.6,4.4e-06,0.0281,0.028,0.0021,6.7,6.67,0.0195,0.00039,0.00039,2.0,-2.5,16,28,0.11,0.0370062283768886,0.363,4.6,None,NASA,2.029,1.919,New,nextgen,TIC120964116,1.2,0.0227,0.0226,0.0189166666666666,0.0188333333333333,0 days 00:12:15.264861
TIC120973167,1.0199113,286.68943398831,39.21193520398,4.6634,0.0115,3630.7805477010033,3630.7805477010033,0.0816582457429626,3372.87309214359,0.1380384022106241,3372.87309214359,3630.7805477010033,3630.7805477010033,0.1425625926015318,3621.5626286778,3630.7805477010033,3630.7805477010033,0.3419795746823802,3561.229810356255,0.417253520027829,3567.7958848932244,0.4425884345633976,3574.374059603301,1450000.0,km,214.436,pc,Gaia DR2 2100392428275714688,286.68959855788904,39.21208016643627,4.660281847376735,0.0215272470706735,6134.0,5963.0,6463.027,0.91870916,0.91870916,1.3267668,1.3156713,1.3156713,4.662707713923114,0.0101433779888864,6148,71.0,1.03,0.02,0.0446,0.0009,4.66028,0.0215272,50,5000,1000,Simbad,4.6634,0.0115000000223517,6163,62,74,1.2,0.2,1.02,0.0222,0.0217,2.1,-1.0,2.26e-05,0.031,0.0303,0.00475,3.26,3.19,0.0442,0.00097,0.00095,2.1,-0.9,22,22,0.11,0.0518537656408454,0.421,4.6,None,NASA,1.885,1.882,New,nextgen,TIC120973167,1.02,0.0222,0.0217,0.0217647058823529,0.0212745098039215,0 days 00:12:02.770052
TIC121020728,0.8049448,286.91712333866,38.87221396587,1.3857,0.0198,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0030703003522288,3621.535944689951,3630.7805477010033,3630.7805477010033,0.0111275573512897,3548.133891118337,0.0174743138326774,3554.67581984433,0.0181970085860997,3531.831700100824,,,721.657,pc,Gaia DR2 2100369888287148416,286.91714891414665,38.872212306506114,1.3935611342030103,0.0223332411168763,4970.0,4934.235,5024.5063,0.7875753,0.7875753,0.356166,0.34116763,0.34116763,1.389159622563997,0.014815745525029,5208,139.26,0.8,0.05,0.0104,0.0007,1.39356,0.0223332,50,5000,1000,Simbad,1.3857,0.0197999998927116,5241,76,87,1.7,0.6,0.782,0.018,0.0186,2.4,-2.3,1.17e-06,0.0383,0.0392,0.00108,17.7,18.1,0.0101,0.00027,0.00028,2.8,-2.9,12,30,0.18,0.0873776867602949,0.436,4.6,None,NASA,1.836,1.838,New,nextgen,TIC121020728,0.782,0.018,0.0186,0.0230179028132992,0.0237851662404092,0 days 00:09:54.276538
TIC121021644,1.0938838,286.8919934277,38.3185378275,1.0262,0.0174,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0054682749325948,3621.532609108216,3630.7805477010033,3630.7805477010033,0.014361506932744,3548.133891118337,0.0198609540582281,3538.343565330621,0.0199526301599763,3531.831700100824,,,974.469,pc,Gaia DR2 2099219867845754752,286.89199960009825,38.31850344883173,0.9516864508409332,0.0299984702563087,5804.25,5518.3896,6072.0,0.99953926,0.99953926,1.2235494,1.1299672,1.1299672,1.0074419399754662,0.015051349644354,5975,182.7,1.09,0.21,0.0096,0.0019,0.951686,0.0299985,50,5000,1000,Simbad,1.0262,0.017400000244379,5925,58,69,1.2,-0.8,1.02,0.0195,0.0198,1.9,-6.4,1.1e-06,0.0361,0.0365,0.00105,17.2,17.4,0.00974,0.00025,0.00025,2.6,1.5,17,27,0.11,0.054914791624359,0.363,3.55,None,NASA,1.927,1.837,New,nextgen,TIC121021644,1.02,0.0195,0.0198,0.0191176470588235,0.0194117647058823,0 days 00:10:15.201354
TIC121022533,1.0100019,286.96388556003,37.8296935448,1.157,0.0167,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0047829102356071,3621.555957468249,3630.7805477010033,3630.7805477010033,0.014361506932744,3548.133891118337,0.0200262685920876,3538.343565330621,0.0212813919552559,3531.831700100824,,,864.304,pc,Gaia DR2 2099156817725596800,286.96388562744903,37.82961469558633,1.1423502482683383,0.0197887828730812,5381.0,5338.0,6200.085,0.7607691,0.7607691,0.77053267,0.734137,0.734137,1.1509064058325005,0.0127626457388653,5710,114.7,0.95,0.12,0.0101,0.0013,1.14235,0.0197888,50,5000,1000,Simbad,1.157,0.0166999995708465,5689,80,82,1.4,-0.4,0.942,0.0215,0.0227,2.4,-0.8,1.19e-06,0.0382,0.0397,0.00109,17.5,18.2,0.0101,0.00027,0.00028,2.8,0.0,12,31,0.11,0.0395548844029242,0.436,3.55,None,NASA,1.845,1.816,New,nextgen,TIC121022533,0.942,0.0215,0.0227,0.0228237791932059,0.0240976645435244,0 days 00:11:54.949888
TIC121085785,0.8051495,287.09399192281,39.06075975211,1.5147,0.0183,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0034002488030864,3621.5426150860144,3630.7805477010033,3630.7805477010033,0.0126706863456431,3564.511335730064,0.0185353240489341,3531.831700100824,0.0190020288240385,3512.36790967016,,,660.197,pc,Gaia DR2 2100378478222060032,287.09400459876844,39.06078011976688,1.505660938534161,0.0221340101787396,4918.7803,4645.0,5114.75,0.74463344,0.74463344,0.34188294,0.32864153,0.32864153,1.5110299281821091,0.0141037862354045,5170,155.0,0.81,0.11,0.0113,0.0015,1.50566,0.022134,50,5000,1000,Simbad,1.5147,0.018300000578165,5234,35,37,0.7,1.2,0.773,0.015,0.0156,2.0,-4.6,1.37e-06,0.0323,0.0333,0.00117,13.8,14.2,0.0109,0.00025,0.00026,2.4,-3.5,13,30,0.2300000000000001,0.1297392982543558,0.352,4.6,None,NASA,1.842,1.87,New,nextgen,TIC121085785,0.773,0.015,0.0156,0.019404915912031,0.0201811125485122,0 days 00:10:03.145389
TIC121108727,0.7571402,287.05171872337,40.21152844508,3.5734,0.01,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0173124166904462,3621.56929989964,3630.7805477010033,3630.7805477010033,0.0678578288962196,3561.229810356255,0.1065613880174625,3557.951305988067,0.1157710387006751,3564.511335730064,1170000.0,km,279.846,pc,Gaia DR2 2100597143598879616,287.0516940284253,40.21142319351958,3.541645237164296,0.0147713136560347,4957.4165,4791.1934,5105.23,0.71393144,0.71393144,0.31193852,0.30802226,0.30802226,3.563420242152378,0.0082808455621657,5009,85.0,0.79,0.02,0.026,0.0007,3.54165,0.0147713,50,5000,1000,Simbad,3.5734,0.0099999997764825,5061,45,46,0.9,1.0,0.761,0.0155,0.0164,2.2,-3.7,7.39e-06,0.0291,0.0307,0.00272,5.35,5.65,0.0253,0.00052,0.00055,2.2,-2.7,14,30,0.11,0.0509101576995049,0.363,11.6,None,NASA,1.769,1.756,New,nextgen,TIC121108727,0.761,0.0155,0.0164,0.0203679369250985,0.021550591327201,0 days 00:10:01.626840
TIC121112251,0.916271,287.08999300964,41.37385030376,2.9756,0.0098,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.036248631123213,3621.549286270987,3630.7805477010033,3630.7805477010033,0.0935836438366575,3561.229810356255,0.1211155328936635,3557.951305988067,0.1307374222118699,3567.7958848932244,,,336.067,pc,Gaia DR2 2100906140725803392,287.0900190171499,41.37375756121818,2.9307961358268986,0.0251919217102523,5803.0,5762.0,5871.0,0.8951687,0.8951687,0.85773444,0.8451615,0.8451615,2.9697109584202974,0.0091332610781483,5842,57.63,0.88,0.02,0.024,0.0006,2.9308,0.0251919,50,5000,1000,Simbad,2.9756,0.009800000116229,5727,65,66,1.2,-2.0,0.908,0.0207,0.0214,2.4,3.2,7.3e-06,0.0326,0.0337,0.0027,6.03,6.24,0.0251,0.00058,0.0006,2.4,4.6,29,14,0.11,0.0505801302662184,0.363,4.6,None,NASA,1.809,1.799,New,ck04,TIC121112251,0.908,0.0207,0.0214,0.0227973568281938,0.0235682819383259,0 days 00:11:17.892280
TIC121113728,0.9460897,287.06637034039,41.87492811213,1.6203,0.0134,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0078378551862726,3621.559293071489,3630.7805477010033,3630.7805477010033,0.0237028124955327,3557.951305988067,0.0320331854625173,3544.8674429865373,0.0360744744003905,3551.4033491464365,,,617.17,pc,Gaia DR2 2102431713108873216,287.0664108566945,41.87497118347412,1.5745145176903754,0.0156392390644743,5361.75,4991.97,5422.6665,0.9249529,0.9249529,0.6664776,0.6469514,0.6469514,1.6009169460094266,0.0101756655524643,5747,108.41,0.95,0.15,0.0139,0.0022,1.57451,0.0156392,50,5000,1000,Simbad,1.6203,0.0133999995887279,5750,54,54,0.9,0.1,0.894,0.0186,0.0192,2.1,-5.9,2.1e-06,0.0317,0.0325,0.00145,10.9,11.2,0.0135,0.0003,0.00031,2.3,-2.9,13,31,0.19,0.1066185824880187,0.352,11.6,None,NASA,1.864,1.885,New,nextgen,TIC121113728,0.894,0.0186,0.0192,0.0208053691275167,0.021476510067114,0 days 00:10:44.672035
TIC121114760,0.70280284,287.2726325891,41.63556889734,1.3185,0.0229,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0024960122019706,3621.525937953963,3630.7805477010033,3630.7805477010033,0.0102423629557515,3551.4033491464365,0.0154170001961264,3531.831700100824,0.0170608286854418,3531.831700100824,,,758.438,pc,Gaia DR2 2102410719308323584,287.27261167091984,41.63560085764872,1.345373671820831,0.0258610832567996,5104.3335,4906.0176,5201.0,0.67692083,0.67692083,0.30207714,0.28744057,0.28744057,1.330310891657027,0.0171444892116735,5071,57.15,0.78,0.04,0.0098,0.0005,1.34537,0.0258611,50,5000,1000,Simbad,1.3185,0.0229000002145767,5037,88,79,1.6,-0.7,0.791,0.0204,0.0228,2.9,1.4,1.09e-06,0.044,0.0476,0.00104,21.1,22.8,0.0097,0.0003,0.00033,3.4,-1.0,13,29,0.15,0.0581144768714647,0.436,3.55,None,NASA,1.852,1.828,New,nextgen,TIC121114760,0.791,0.0204,0.0228,0.0257901390644753,0.0288242730720606,0 days 00:09:42.917705
TIC121123361,0.5993926,287.2187214614199,38.86250965053,4.5557,0.02,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0163815737490628,3621.4225374110647,3630.7805477010033,3630.7805477010033,0.073722494436734,3564.511335730064,0.1187954702382201,3557.951305988067,0.1331680685071719,3564.511335730064,,,219.505,pc,Gaia DR2 2099620777272914944,287.2187272561531,38.86253655943215,4.479699086480687,0.0208061390805253,4903.855,4633.282,5045.75,0.5661547,0.5661547,0.18718365,0.1848484,0.1848484,4.519200382105721,0.0144187047851959,4671,85.64,0.67,0.03,0.0279,0.0013,4.4797,0.0208061,50,5000,1000,Simbad,4.5557,0.0199999995529651,4628,49,46,1.0,-0.9,0.679,0.0178,0.0193,2.8,1.3,9.57e-06,0.0376,0.0407,0.00309,6.08,6.58,0.0288,0.00076,0.00083,2.9,3.2,20,25,0.11,0.0361112615358146,0.478,3.35,None,NASA,1.812,1.817,New,nextgen,TIC121123361,0.679,0.0178,0.0193,0.0262150220913107,0.0284241531664212,0 days 00:10:26.231939
TIC121123737,1.8031539,287.23568223917,38.75415189284,0.8813,0.0132,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0081822950766459,3621.559293071489,3630.7805477010033,3630.7805477010033,0.0255387720756299,3561.229810356255,0.0351236709017825,3554.67581984433,0.0360744744003905,3548.133891118337,,,1134.687,pc,Gaia DR2 2099619059285601280,287.235682764397,38.754082398146565,0.8394666446782897,0.0158076337992093,5373.75,5347.5,5517.2134,1.7105987,1.7105987,2.4427,2.3075361,2.3075361,0.864113775163729,0.010132013536016,5379,48.0,1.62,0.0372,0.0133,0.00036,0.839467,0.0158076,50,5000,1000,Simbad,0.8813,0.0131999999284744,5348,62,64,1.2,-0.6,1.68,0.0383,0.0403,2.4,3.7,2.19e-06,0.0386,0.04,0.00148,13.0,13.5,0.0138,0.00038,0.00039,2.8,3.8,26,18,0.11,0.0632110092526258,0.478,3.55,None,Initial SEDmc Results,1.815,1.809,New,nextgen,TIC121123737,1.68,0.0383,0.0403,0.022797619047619,0.0239880952380952,0 days 00:17:14.058000
