HD,Teff,Teff_err,Rstar,Rstar_err,angdia,angdia_err,plx,plx_err
TIC120964116,6155,64.75,1.22,0.1,0.02,0.0017,1.75853,0.0261814
TIC120973167,6148,71,1.03,0.02,0.0446,0.0009,4.66028,0.0215272
TIC121020728,5208,139.26,0.8,0.05,0.0104,0.0007,1.39356,0.0223332
TIC121021644,5975,182.7,1.09,0.21,0.0096,0.0019,0.951686,0.0299985
TIC121022533,5710,114.7,0.95,0.12,0.0101,0.0013,1.14235,0.0197888
TIC121085785,5170,155,0.81,0.11,0.0113,0.0015,1.50566,0.022134
TIC121108727,5009,85,0.79,0.02,0.026,0.0007,3.54165,0.0147713
TIC121112251,5842,57.63,0.88,0.02,0.024,0.0006,2.9308,0.0251919
TIC121113728,5747,108.41,0.95,0.15,0.0139,0.0022,1.57451,0.0156392
TIC121114760,5071,57.15,0.78,0.04,0.0098,0.0005,1.34537,0.0258611
TIC121123361,4671,85.64,0.67,0.03,0.0279,0.0013,4.4797,0.0208061
TIC121123737,5828,112.18,1.01,0.17,0.0079,0.0013,0.839467,0.0158076
TIC121214078,5809,68.69,1.37,0.04,0.027,0.0008,2.11608,0.0230773
TIC121214185,6305,50,1.9,0.02,0.1623,0.0018,9.18591,0.0323071
TIC121214909,5475,79.05,1.09,0.3,0.0121,0.0033,1.1944,0.0179247
TIC121215172,5053,192.88,0.77,0.05,0.0127,0.0008,1.77266,0.0246548
TIC121215333,5530,165,0.89,0.22,0.0079,0.002,0.950059,0.0260368
TIC121275496,5183,80.28,0.79,0.02,0.0168,0.0004,2.28804,0.0171549
TIC121276638,5687,49,1.07,0.01,0.0428,0.0005,4.3027,0.0243672
TIC121276933,5906,145.88,1.05,0.18,0.0067,0.0012,0.688804,0.0227725
TIC121327187,5746,66.6,1.41,0.06,0.0336,0.0015,2.56086,0.0249033
TIC121329580,5190,85,0.9,0.05,0.013,0.0007,1.5543,0.0182497
TIC121333305,4380,130,0.53,0.04,0.0079,0.0006,1.60837,0.0318127
TIC121333541,6188,65.25,1.21,0.14,0.0206,0.0024,1.8285,0.0237049
TIC121458206,6012,100,1.47,0.29,0.0127,0.0025,0.931192,0.0237233
TIC121458707,4096,150,0.53,0.03,0.0125,0.0007,2.54441,0.0211167
TIC121460918,5751,100,1.43,0.26,0.007,0.0013,0.526944,0.022199
TIC121465371,6221,97.8,1.33,0.62,0.0079,0.0037,0.640381,0.0156404
TIC121465404,5237,157,0.83,0.12,0.0098,0.0014,1.26611,0.0255904
TIC121467823,5839,74.39,1.38,0.34,0.0134,0.0033,1.04516,0.0167009
TIC121490076,4930,100,0.74,0.01,0.1487,0.002,21.6104,0.0400444
TIC121598758,5560,100,0.94,0.14,0.0096,0.0014,1.09362,0.0208835
TIC121603761,5350,73.41,0.84,0.07,0.014,0.0012,1.78829,0.0219993
TIC121603794,5884,75,1.13,0.03,0.0329,0.0009,3.12921,0.0231178
TIC121603852,5608,69.12,0.95,0.19,0.0091,0.0018,1.03044,0.0278189
TIC121656582,5863,78.69,1.29,0.24,0.0228,0.0043,1.9014832,0.0554181
TIC121660143,4954,100,0.72,0.04,0.0084,0.0005,1.26103,0.0304179
TIC121660708,5685,74,1.03,0.1,0.0416,0.004,4.34425,0.0269909
TIC121660779,6214,173,1.12,0.38,0.0125,0.0042,1.19588,0.0175778
TIC121660826,4712,54.27,0.72,0.02,0.02,0.0006,2.98734,0.0209107
TIC121729607,5612,128.36,0.91,0.11,0.004,0.0005,0.471886,0.0250063
TIC121731834,6211,66,1.41,0.03,0.0428,0.001,3.26384,0.0288769
TIC121732589,5682,77.93,0.97,0.17,0.0063,0.0011,0.701622,0.0195916
TIC121733900,4961,84.41,0.76,0.03,0.0118,0.0005,1.66467,0.0242603
TIC121734006,4815,86.89,0.72,0.03,0.0134,0.0027,2.0009509,0.3985461
TIC121734202,5813,93.83,1.05,0.12,0.0151,0.0017,1.54443,0.015984
TIC121734474,5334,117.14,0.83,0.07,0.014,0.0012,1.81837,0.0231057
TIC121785676,5842,115.89,1.03,0.22,0.0063,0.0018,0.6585396,0.1192372
TIC121785939,5918,250,1.09,0.52,0.0082,0.0039,0.808926,0.0233146
TIC121786521,5845,122.09,1,0.18,0.0074,0.0013,0.792592,0.0221621
TIC121786630,5526,100,0.9,0.12,0.0164,0.0022,1.95761,0.018707
TIC121787669,3715,37.37,0.5,0.02,0.0165,0.0007,3.55464,0.0432221
TIC121789066,6160,119.73,1.25,0.42,0.0116,0.0039,0.993715,0.0191675
TIC121795464,5343,73.58,0.84,0.07,0.0099,0.0008,1.26317,0.0217877
TIC12181371,4356,196.73,0.74,0.11,0.0581,0.0086,8.44508,0.0367772
TIC121865123,5876,104.99,1.06,0.28,0.0211,0.0056,2.14073,0.0127662
TIC121865605,6130,87.31,1.79,0.38,0.021,0.0045,1.25848,0.0235031
TIC121865656,6009,64,1.49,0.02,0.0276,0.0005,1.9923,0.0236114
TIC121943724,5883,50,1.7,0.05,0.0326,0.001,2.06347,0.02333
TIC121943923,5749,153,0.86,0.23,0.0058,0.0016,0.728947,0.0274127
TIC121943952,4906,81.53,0.72,0.04,0.0092,0.0006,1.37405,0.0310177
TIC121944984,5865,117,1.39,0.23,0.0202,0.0034,1.56588,0.0223625
TIC121988890,4841,93,0.73,0.03,0.0105,0.0005,1.54984,0.0283444
TIC122062591,5541,100,0.93,0.12,0.0097,0.0013,1.11863,0.0161087
TIC122062725,5931,80.28,1.17,0.47,0.0098,0.004,0.902756,0.0231892
TIC122063843,5444,71.98,0.84,0.02,0.0208,0.0005,2.65893,0.013937
TIC122063936,5216,81.36,0.8,0.05,0.0081,0.0006,1.08646,0.0327124
TIC122065885,3208,24.62,0.3,0.02,0.0353,0.0024,12.6475,0.0701111
TIC122066167,5345,67.9,0.84,0.07,0.0184,0.0015,2.3509,0.0156018
TIC122066280,5743,85.68,0.99,0.23,0.0108,0.0025,1.1737,0.018329
TIC122066892,5557,122,1.25,0.21,0.0285,0.0048,2.4532,0.027715
TIC122066949,3722,29.96,0.51,0.01,0.017,0.0004,3.58381,0.0492697
TIC122068161,4632,44.21,0.75,0.05,0.0123,0.0027,1.7622795,0.3628562
TIC122069243,4290,70,0.71,0.03,0.0197,0.0008,2.98745,0.0219862
TIC122070274,5700,77,1.01,0.15,0.0106,0.0016,1.12523,0.0245719
TIC122136712,4700,57.52,0.7,0.03,0.0126,0.0006,1.93693,0.0270849
TIC122137575,5048,65.08,0.77,0.03,0.0106,0.0005,1.48438,0.0249939
TIC122139228,4647,57.14,0.71,0.02,0.0097,0.0006,1.46227,0.0767773
TIC122224871,6159,129.54,1.23,0.39,0.0061,0.002,0.534883,0.030901
TIC122225232,4991,75,2.94,0.07,0.0609,0.0017,2.2289,0.0316849
TIC122293639,6194,62.11,1.29,0.19,0.0132,0.002,1.09917,0.0155864
TIC122294261,5561,83,1.19,0.18,0.0076,0.0012,0.690806,0.0264876
TIC122294985,4673,62.23,0.72,0.03,0.0108,0.0005,1.60877,0.0403765
TIC122297877,5847,250,0.96,0.43,0.0037,0.0017,0.413424,0.0339237
TIC122298422,5676,104.55,0.93,0.12,0.0034,0.0005,0.393109,0.0269428
TIC122298563,5860,94.6,1.04,0.22,0.0058,0.0013,0.5971967,0.0491141
TIC122298677,5867,100,1.3,0.23,0.0052,0.0047,0.4289015,0.3803557
TIC122300177,4901,78,0.72,0.05,0.0162,0.0011,2.41265,0.0196954
TIC122374509,5771,104,1.07,0.16,0.0158,0.0024,1.58636,0.0158936
TIC122374620,5094,100,0.81,0.05,0.0168,0.001,2.22611,0.0176323
TIC122375047,5541,60,0.86,0.02,0.0364,0.0009,4.54651,0.020165
TIC122376177,5800,200,1.07,0.16,0.0083,0.0013,0.836127,0.0237761
TIC122376998,5349,167,0.82,0.14,0.0083,0.0014,1.09019,0.0277584
TIC122441003,5950,62,1.39,0.02,0.0269,0.0005,2.07728,0.0232852
TIC122442334,5050,27.73,0.78,0,0.0214,0.0001,2.9516,0.0138107
TIC122443195,5226,84.83,0.81,0.05,0.0106,0.0007,1.40312,0.0221974
TIC122445076,5835,118,1.1,0.23,0.0077,0.0016,0.752895,0.0279864
TIC122446089,5882,77.41,1.07,0.12,0.0119,0.0013,1.19383,0.0181972
TIC122446315,5858,0,0.89,0,0.0058,0.0003,0.704174,0.0334405
TIC122446866,5468,81,1.31,0.23,0.0092,0.0016,0.754179,0.0163301
TIC122447896,6572,160,1.24,0.39,0.0066,0.0021,0.572829,0.0294662
TIC122447994,6035,85.61,1.22,0.46,0.0091,0.0035,0.804038,0.02434
TIC122449752,5740,57.53,0.98,0.08,0.0133,0.0011,1.45375,0.0199124
TIC122450088,6090,120,1.27,0.24,0.0187,0.0035,1.5798,0.0277839
TIC122450696,5720,60,0.92,0.04,0.026,0.0011,3.03538,0.0228765
TIC122450762,4897,90.72,0.75,0.03,0.0162,0.0007,2.3182,0.0194827
TIC122507231,5558,144.94,0.89,0.11,0.0061,0.0008,0.737585,0.0308402
TIC122515768,4805,144,0.69,0.08,0.0106,0.0013,1.65928,0.0348511
TIC122515955,5418,87.09,0.93,0.1,0.0111,0.0046,1.2857742,0.515122
TIC122519154,5574,100,0.94,0.14,0.0174,0.0026,1.98998,0.0171738
TIC122595516,5608,83,0.94,0.23,0.0048,0.0012,0.552647,0.0222411
TIC122595850,6140,133.4,1.19,0.4,0.0079,0.0027,0.713579,0.0208161
TIC122596334,6167,124.02,1.23,0.45,0.0105,0.0039,0.921048,0.0193708
TIC122597057,6457,179,1.2,0.43,0.012,0.0043,1.07628,0.0191738
TIC122597885,5282,97.87,0.79,0.06,0.0039,0.0008,0.5278727,0.0967474
TIC122605691,6060,144.25,1.15,0.29,0.0046,0.0012,0.433661,0.0309849
TIC122607324,5493,123.67,0.86,0.08,0.0044,0.0005,0.549575,0.0290613
TIC122673489,5841,200,0.88,0.36,0.0131,0.0054,1.60236,0.0200594
TIC122682249,5247,73.63,0.81,0.03,0.0216,0.0008,2.87055,0.0164016
TIC122682991,5850,76.73,1.01,0.05,0.0169,0.0008,1.79924,0.0141785
TIC122684233,5631,83.2,0.96,0.1,0.0179,0.0019,2.00331,0.0191863
TIC122706051,4521,73.87,0.68,0.02,0.0063,0.0015,0.9899438,0.2307301
TIC122706631,5838,94.69,1.07,0.14,0.012,0.0019,1.2072182,0.1128925
TIC122707371,5839,93.84,1.02,0.2,0.0093,0.0018,0.979545,0.0169053
TIC122712179,4184,52.61,0.57,0.03,0.0207,0.0011,3.91031,0.0231128
TIC122712446,4985,200,0.74,0.3,0.009,0.0037,1.31106,0.0349151
TIC122712595,5466,60,0.9,0.02,0.022,0.0005,2.62461,0.0139799
TIC122713147,5700,110.52,0.95,0.14,0.0084,0.0013,0.949366,0.0279691
TIC122714267,6050,137,1.22,0.24,0.0107,0.0021,0.944664,0.0178357
TIC122716806,5774,125,1.04,0.2,0.0122,0.0024,1.2638,0.0173802
TIC122716838,6277,170,1.16,0.4,0.0119,0.0041,1.10016,0.0181316
TIC122780849,6403,86.23,2.42,0.34,0.0239,0.0034,1.06113,0.0217645
TIC122781795,6320,75,1.25,0.21,0.0053,0.001,0.452585,0.0304853
TIC123129877,5211,200,0.77,0.47,0.0126,0.0077,1.75418,0.0197528
TIC123129910,5296,61.13,0.83,0.06,0.0124,0.0009,1.60316,0.0205817
TIC123130285,5159,153,0.8,0.09,0.0253,0.0028,3.39447,0.0154366
TIC123201193,5733,71.22,1.03,0.31,0.0112,0.0034,1.16761,0.0176727
TIC123202646,4931,98,0.73,0.05,0.022,0.0015,3.2413,0.0146879
TIC123206821,3975,71,0.51,0.04,0.0192,0.0015,4.04785,0.0248655
TIC123230993,5223,183,0.89,0.15,0.0096,0.0016,1.16203,0.0306304
TIC123231081,6004,75,1.09,0.19,0.0205,0.0036,2.02658,0.0197939
TIC123231917,4299,41.81,0.68,0.01,0.0197,0.0003,3.11593,0.0245149
TIC123235018,6021,200,1.14,0.51,0.0106,0.0048,1.00392,0.0231561
TIC123309556,4781,98,0.76,0.03,0.0366,0.0015,5.1821,0.0220417
TIC123312978,5655,76.91,0.9,0.11,0.0063,0.0008,0.750671,0.0211709
TIC123313142,5388,100,0.89,0.1,0.0204,0.0023,2.46817,0.0162179
TIC123314844,5100,78.06,0.78,0.04,0.0104,0.0006,1.44005,0.0172552
TIC123316231,5975,64.37,1.08,0.08,0.0355,0.0026,3.53461,0.0197419
TIC123357476,4755,41.26,0.72,0.02,0.0233,0.0007,3.48098,0.0195601
TIC123357864,4909,98,0.72,0.02,0.0619,0.0017,9.24784,0.018766
TIC123357893,5074,52.66,0.78,0.04,0.0145,0.0008,2.00386,0.019173
TIC123358019,6108,125,1.28,0.25,0.013,0.0025,1.09287,0.0123554
TIC123358827,5629,73.19,0.9,0.1,0.009,0.001,1.07828,0.0185209
TIC123359347,4850,53.07,0.73,0.03,0.0101,0.0005,1.49476,0.0248906
TIC123408693,4651,59.42,0.7,0.03,0.0115,0.0005,1.76982,0.018986
TIC123408863,5936,117.34,1.04,0.2,0.0066,0.0013,0.680952,0.0135952
TIC123409401,6075,131,1.24,0.24,0.0296,0.0057,2.56925,0.0216781
TIC123415040,5523,76.28,0.91,0.11,0.0095,0.0012,1.12431,0.0173592
TIC123415819,5187,100,0.8,0.06,0.0243,0.0018,3.27176,0.0198705
TIC123416041,5871,70,0.98,0.14,0.0103,0.0015,1.12655,0.0154144
TIC123416515,4082,39.2,0.61,0.03,0.014,0.0007,2.46907,0.0318941
TIC123416753,5438,67.15,0.83,0.08,0.0057,0.0006,0.738486,0.034027
TIC123417308,6067,100,1.46,0.28,0.0139,0.0027,1.02515,0.0141643
TIC123417850,3359,60,0.24,0.04,0.0231,0.0039,10.3516,0.0546893
TIC123444694,5734,104,0.96,0.14,0.0298,0.0044,3.33801,0.0204084
TIC123445166,5665,54.97,1.19,0.17,0.0183,0.0026,1.65,0.0126765
TIC123447451,5614,75.11,0.89,0.09,0.005,0.0006,0.598854,0.0377761
TIC123447592,6680,94.5,1.77,0.83,0.0148,0.007,0.900907,0.0222745
TIC123448077,4828,42.43,0.74,0.02,0.0149,0.0004,2.16677,0.0205762
TIC123449386,6474,159,1.24,0.38,0.0104,0.0032,0.90386,0.0190045
TIC123450224,5594,100,1.3,0.25,0.0306,0.0059,2.52874,0.0272155
TIC123451321,5505,164,0.87,0.2,0.0079,0.0018,0.970191,0.0390885
TIC123451768,5698,92.85,0.97,0.2,0.0081,0.0017,0.902722,0.0223435
TIC123490277,5510,166,0.8,0.19,0.003,0.0007,0.397545,0.0323571
TIC123490444,5208,200,0.81,0.46,0.0159,0.009,2.11386,0.0214025
TIC123490545,6136,33.4,1.61,0.1,0.0373,0.0023,2.49421,0.0246966
TIC123492903,4655,41.24,0.69,0.03,0.0039,0.0027,0.6078561,0.412726
TIC123497954,4043,36.21,0.56,0.02,0.0116,0.0005,2.2286,0.034903
TIC123499226,5659,86.94,0.94,0.13,0.0066,0.0009,0.749224,0.0212727
TIC12421862,3650,75,0.44,0.02,0.1724,0.0078,42.1185,0.046758
TIC126606859,3400,100,0.45,0.09,0.0518,0.0104,12.37,0.0391567
TIC12666215,5705,66,1.14,0.01,0.0547,0.0009,5.16248,0.0703693
TIC127530399,4714,87,0.75,0.03,0.0566,0.0023,8.10734,0.0371024
TIC130181866,5688,28,0.91,0.03,0.3775,0.0125,44.607,0.0444373
TIC130634730,6351,198,1.31,0.03,0.0181,0.0005,1.48213,0.0250019
TIC136916387,5664,61,1.06,0.02,0.6712,0.0127,68.0818,0.0914699
TIC137089993,6075,86.22,1.24,0.19,0.0127,0.0019,1.09734,0.0151282
TIC137090755,4776,54.15,0.73,0.02,0.0139,0.0004,2.04769,0.0271716
TIC137096633,6168,136.72,1.24,0.49,0.01,0.0039,0.864732,0.0179375
TIC137099260,4859,97,0.72,0.05,0.0392,0.0027,5.8553,0.0219513
TIC137148674,5098,100,0.79,0.05,0.0229,0.0015,3.12078,0.0171975
TIC137149476,5703,140.91,0.95,0.16,0.0084,0.0014,0.949519,0.0285979
TIC137150039,6004,71,1.12,0.02,0.0226,0.0005,2.17012,0.0313833
TIC137150277,5714,67.61,1.11,0.22,0.0088,0.0018,0.856267,0.0188116
TIC137150544,5818,250,0.89,0.42,0.0075,0.0036,0.91164,0.0364518
TIC137151294,5982,189,0.96,0.27,0.0053,0.0015,0.588904,0.0304503
TIC137151335,5669,75,0.92,0.01,0.089,0.001,10.3974,0.0238629
TIC137151626,5119,82,0.83,0.05,0.0073,0.0005,0.942406,0.0319722
TIC137154728,6035,72.63,1.02,0.04,0.0122,0.0005,1.29093,0.016918
TIC137155210,4493,100,0.61,0.03,0.0318,0.0016,5.6095,0.0169186
TIC137212833,5831,134.99,1,0.17,0.0076,0.0013,0.816732,0.0297207
TIC137217372,5758,84.03,1.07,0,0.0141,0.0002,1.41892,0.0187422
TIC137219378,5900,100,1.18,0.23,0.0116,0.0023,1.05479,0.0188512
TIC137307173,5849,106.52,1.04,0.28,0.0052,0.0014,0.533539,0.0242155
TIC137315414,3967,79,0.59,0.03,0.0137,0.0007,2.5024,0.0382587
TIC137316027,5650,101,0.9,0.11,0.0272,0.0033,3.24797,0.0252206
TIC137317096,5590,97.14,0.92,0.06,0.0072,0.0013,0.8357173,0.1359212
TIC137318075,6224,200,1.11,0.49,0.0057,0.0025,0.549145,0.0292198
