HD,Teff,Teff_err,Rstar,Rstar_err,angdia,angdia_err,plx,plx_err
TIC137816475,5730,204.01,0.92,0.13,0.0028,0.001,0.326942,0.104829
TIC137817056,5776,181,0.85,0.21,0.0042,0.0011,0.527546,0.0372247
TIC137817355,5042,73.64,0.76,0.02,0.0339,0.0009,4.80257,0.0259171
TIC137892408,4703,74,0.7,0.03,0.009,0.0004,1.37928,0.0334638
TIC137892978,6023,200,1.01,0.54,0.0068,0.0036,0.721758,0.0238408
TIC137899873,5719,71.88,0.92,0.03,0.0284,0.001,3.31466,0.0253744
TIC137899939,4699,200,0.67,0.29,0.0102,0.0045,1.6397118,0.1087315
TIC137900524,5422,119,1.78,0.34,0.0206,0.004,1.24607,0.0225984
TIC137968594,6228,72.21,1.42,0.31,0.0084,0.0019,0.637163,0.0192171
TIC137969066,5307,87.96,0.86,0.06,0.0115,0.0008,1.4398,0.0231283
TIC137972889,5543,95.27,0.91,0.13,0.0076,0.0011,0.895523,0.03237
TIC138036531,5935,126.07,1.08,0.26,0.0054,0.0013,0.537199,0.0267761
TIC138036952,5992,95.54,1.15,0.31,0.0044,0.0013,0.409475,0.0440606
TIC138096962,5658,206.29,0.92,0.14,0.0106,0.0016,1.23319,0.0186234
TIC138097531,6112,68.96,1.09,0.05,0.0136,0.0014,1.3369812,0.1242957
TIC138097784,6001,60,1.25,0.03,0.0128,0.0004,1.09861,0.0155993
TIC138097834,5904,102.51,1.06,0.28,0.0051,0.0014,0.513683,0.026196
TIC138099276,5679,174.93,0.94,0.16,0.0098,0.0017,1.12353,0.0197954
TIC138100223,6032,168,0.97,0.32,0.0087,0.0029,0.966843,0.0168503
TIC138105005,4975,129.64,0.74,0.05,0.0308,0.0021,4.46876,0.0239474
TIC138213510,6105,200,1.05,0.48,0.0083,0.0038,0.846215,0.0336012
TIC138214174,5683,69.29,0.95,0.06,0.0131,0.0008,1.47879,0.0204535
TIC138214374,5888,200,0.96,0.41,0.0082,0.0035,0.923702,0.0248797
TIC138217479,5782,133.65,0.99,0.18,0.0084,0.0016,0.916503,0.0262287
TIC138219758,5893,162.9,1.05,0.18,0.0049,0.0009,0.498369,0.0246783
TIC138222081,6068,151.79,1.16,0.35,0.0048,0.0015,0.448711,0.0264023
TIC138297129,5690,85.16,0.98,0.12,0.0312,0.0038,3.42069,0.0242731
TIC138297190,6065,117,1.23,0.24,0.0176,0.0035,1.54279,0.0235902
TIC138299395,6296,217.69,1.36,0.58,0.0197,0.0084,1.55899,0.013803
TIC138303317,6383,218.04,1.47,0.61,0.0104,0.0043,0.761688,0.0248976
TIC138364751,6213,223.89,1.28,0.57,0.0069,0.0031,0.582108,0.0248515
TIC138365520,4362,87,0.64,0,0.0111,0.0002,1.8574,0.0382742
TIC138366224,5868,140,0.89,0.23,0.0059,0.0015,0.70718,0.0267341
TIC138366498,4838,59.77,0.74,0.01,0.014,0.0003,2.0321,0.0266139
TIC138423341,5507,128.4,0.89,0.12,0.0069,0.001,0.835524,0.0352133
TIC138425797,4954,122,0.76,0,0.0136,0.0001,1.91937,0.0186122
TIC138431036,5420,177,0.87,0.18,0.0085,0.0018,1.05654,0.0310435
TIC138433618,5508,99,0.84,0.11,0.019,0.0025,2.42689,0.0163655
TIC138477499,5619,224.88,0.84,0,0.0065,0.0003,0.834984,0.0338978
TIC138477646,6179,148.99,1.25,0.52,0.0301,0.0125,2.5907,0.0225794
TIC138479461,5705,76,0.91,0.12,0.0077,0.0011,0.9144,0.032246
TIC138568416,5792,252.91,1,0.21,0.0112,0.0024,1.20622,0.019568
TIC138568968,5108,177.47,0.78,0.05,0.009,0.0006,1.24681,0.0310391
TIC138569175,6166,102.75,2.06,0.32,0.0175,0.0027,0.914114,0.0144535
TIC138569990,5948,100,1.21,0.23,0.0154,0.0029,1.36647,0.0180454
TIC138571095,6206,68.1,1.22,0.11,0.0115,0.001,1.00953,0.0146277
TIC138572691,5772,140.28,1,0.23,0.0108,0.0025,1.16562,0.0209174
TIC138574253,5988,82.2,1.26,0.26,0.0114,0.0024,0.971283,0.0197439
TIC138575125,5897,105,1.26,0.2,0.0152,0.0024,1.29324,0.0169363
TIC138636741,6061,180,0.97,0.3,0.0058,0.0018,0.646345,0.0246061
TIC138641300,4914,100,0.76,0.04,0.0107,0.0006,1.51499,0.0314827
TIC138645719,5165,170,0.76,0.12,0.007,0.0011,0.990102,0.0368761
TIC138728891,5440,157.76,0.86,0.1,0.0078,0.001,0.981381,0.0335366
TIC138805992,5229,183,1.01,0.33,0.0154,0.005,1.63554,0.0265633
TIC138888759,7044,277.69,1.95,0.51,0.0311,0.0082,1.7171,0.0300146
TIC138890353,5497,200,0.94,0.43,0.0091,0.0041,1.03535,0.0285252
TIC138959504,5636,135.41,0.96,0.16,0.0166,0.0028,1.85536,0.0178326
TIC138960099,8480,295.98,1.73,0.29,0.0159,0.0027,0.989042,0.0261559
TIC138968107,6160,123,2.05,0.35,0.0175,0.003,0.917615,0.0170376
TIC138968338,6675,270.59,1.73,0.62,0.0189,0.0068,1.17705,0.0147675
TIC138969285,5578,82.21,0.92,0.06,0.0151,0.001,1.76603,0.0184673
TIC138972811,6117,70.67,1.18,0.17,0.0144,0.0021,1.3081,0.0209896
TIC139034625,5738,156,0.98,0.28,0.0106,0.003,1.16308,0.0220632
TIC139036121,5745,145.41,0.97,0.2,0.0089,0.0019,0.988411,0.0436787
TIC139036554,5672,95.54,0.97,0.24,0.0144,0.0036,1.59119,0.0289777
TIC139036617,5819,69,0.99,0.16,0.0052,0.0009,0.56016,0.0448011
TIC139106013,5279,165.3,0.81,0.06,0.0111,0.0008,1.47698,0.0241026
TIC139106731,5973,89.43,1.12,0.08,0.0355,0.0025,3.40956,0.0223815
TIC139155506,5427,78.18,0.84,0.02,0.017,0.0004,2.171,0.0218794
TIC139158696,5444,89.78,0.88,0.05,0.0092,0.0006,1.11832,0.027166
TIC14111411,4484,58,0.62,0.01,0.0428,0.0007,7.42337,0.0231484
TIC14227229,5775,70,1.25,0.02,0.0577,0.0012,4.96259,0.0673735
TIC142276270,5770,50,0.97,0.04,0.1065,0.0044,11.8003,0.0219459
TIC142748283,3300,50,0.24,0.01,0.046,0.0019,20.5978,0.0413973
TIC142937186,4072,121,0.65,0.02,0.2118,0.0065,35.0407,0.0339887
TIC143143769,5143,100,0.84,0.01,0.0276,0.0004,3.53558,0.0228266
TIC14570090,5139,62,0.85,0.02,0.016,0.0005,2.01993,0.0313977
TIC14635562,4009,47,0.59,0.01,0.076,0.0013,13.8516,0.0484217
TIC146364192,5477,27,0.98,0.05,0.0655,0.0034,7.1829,0.0504574
TIC146520535,4969,100,0.89,0.06,0.054,0.0036,6.52427,0.0294885
TIC146799150,4434,61,0.62,0.05,0.0217,0.0018,3.75615,0.0290665
TIC147683165,4629,168,0.67,0.01,0.0272,0.0004,4.3615,0.0246529
TIC150096001,3655,80,0.46,0.02,0.0568,0.0025,13.2743,0.0353491
TIC150098860,5298,65,0.86,0.03,0.0879,0.0031,10.9915,0.0206395
TIC150151262,4622,61,0.67,0.02,0.1061,0.0032,17.0297,0.0229936
TIC150428135,3459,65,0.42,0.02,0.1254,0.006,32.098,0.0210999
TIC152701771,3459,65,0.37,0.01,0.0314,0.0009,9.12589,0.0516706
TIC152805642,5262,43,0.75,0.01,0.0465,0.0007,6.66215,0.0482376
TIC152868838,5152,41,0.82,0.01,0.0331,0.0005,4.34143,0.0391406
TIC156584871,3717,85,0.49,0.01,0.0309,0.0007,6.77291,0.0474972
TIC158025009,4884,70,0.79,0.04,0.1333,0.0068,18.1484,0.0253602
TIC158108219,6087,70.08,1.14,0.15,0.0058,0.0034,0.5515783,0.3110689
TIC158112888,5774,172,0.86,0.25,0.0072,0.0021,0.895087,0.0355114
TIC158113449,5761,64.93,1.01,0.24,0.0065,0.0015,0.687736,0.0195654
TIC158114000,5507,61.6,0.9,0.12,0.0105,0.0014,1.25238,0.0185649
TIC158114249,5577,145,0.88,0.25,0.0089,0.0025,1.08762,0.0131329
TIC158114283,5656,66.4,0.94,0.17,0.0064,0.0012,0.731802,0.0154586
TIC158167159,5044,49.22,0.76,0.04,0.0081,0.0005,1.14948,0.0353232
TIC158169713,5181,58.32,0.79,0.04,0.0132,0.0007,1.79947,0.020341
TIC158171456,4828,40.1,0.73,0.02,0.0177,0.0005,2.61015,0.0272043
TIC158171839,4435,45.95,0.63,0.03,0.0131,0.0006,2.24188,0.0232391
TIC158172348,5732,60,1.32,0.05,0.0082,0.0004,0.667813,0.0197263
TIC158175366,5665,68.09,0.94,0.15,0.0071,0.0012,0.807612,0.0281839
TIC158212755,5044,43.82,0.78,0.04,0.0094,0.0005,1.30113,0.0302349
TIC158213532,6053,200,1.06,0.5,0.011,0.0052,1.11282,0.0198052
TIC158213683,5791,78,1.08,0.17,0.01,0.0016,0.995104,0.0187134
TIC158215023,6098,97.1,1.16,0.32,0.0149,0.0041,1.37704,0.0140279
TIC158215347,5782,68.03,1.06,0.15,0.0171,0.0024,1.7323,0.0135113
TIC158216544,5804,200,0.96,0.4,0.0089,0.0037,0.997499,0.0237713
TIC158216580,5970,184,1.13,0.34,0.0111,0.0033,1.05419,0.0219341
TIC158217620,5865,85.98,1.05,0.24,0.0067,0.0015,0.688644,0.019478
TIC158218178,5643,200,0.85,0.41,0.0071,0.0034,0.894576,0.0354258
TIC158218214,5147,200,0.74,0.38,0.0097,0.005,1.41133,0.0292632
TIC158218591,5664,67.78,0.92,0.13,0.0049,0.0007,0.573312,0.031724
TIC158268972,5654,200,0.88,0.33,0.0098,0.0037,1.20213,0.0216512
TIC158269049,5633,71.02,0.91,0.11,0.0042,0.0006,0.4911,0.0274095
TIC158270568,5213,61.9,0.8,0.05,0.011,0.0007,1.47547,0.0203166
TIC158272257,4955,100,0.72,0.04,0.0193,0.0011,2.8765,0.0151472
TIC158272820,4223,42.74,0.62,0.02,0.0117,0.0004,2.0341,0.0337413
TIC158274583,6266,93.46,1.34,0.62,0.0106,0.0049,0.850017,0.0134384
TIC158275161,5315,60.48,0.82,0.06,0.0073,0.0006,0.952861,0.0307582
TIC158276273,5593,85.61,0.93,0.18,0.0145,0.0028,1.68005,0.0160476
TIC158278132,5188,55.6,0.81,0.05,0.0086,0.0006,1.14221,0.0271609
TIC158317637,6002,81.98,1.09,0.25,0.0097,0.0033,0.9610059,0.2440394
TIC158317824,5020,48.72,0.77,0.03,0.0083,0.0004,1.16288,0.0385866
TIC158320130,4324,70,0.79,0.05,0.0269,0.0017,3.65739,0.0167557
TIC158322622,4692,45.94,0.7,0.02,0.0091,0.0003,1.39427,0.0327949
TIC158324044,5146,122,0.87,0,0.0135,0.0002,1.66328,0.019456
TIC158324326,4523,51.15,0.67,0.03,0.0102,0.0005,1.63392,0.0316362
TIC158326424,5776,138,0.85,0.24,0.0116,0.0033,1.4648,0.0195982
TIC158326744,6080,97.21,1.18,0.39,0.0067,0.0022,0.605918,0.0195499
TIC158385035,4231,68.4,0.62,0.04,0.0154,0.001,2.67192,0.0292759
TIC158386680,5659,64.1,0.97,0.18,0.0101,0.0019,1.12332,0.0194087
TIC158387462,5088,100,0.72,0.04,0.015,0.0008,2.23828,0.0160041
TIC158388625,5455,162,0.85,0.19,0.0111,0.0025,1.40574,0.0255056
TIC158392088,4554,50.38,0.66,0.03,0.0095,0.0005,1.54978,0.0411144
TIC158393923,6074,0,0.94,0,0.0073,0.0001,0.830859,0.0159428
TIC158394235,5676,200,1.07,0.45,0.0136,0.0057,1.36792,0.0197915
TIC158394286,5981,78.95,1.13,0.31,0.012,0.0033,1.14228,0.0180022
TIC158394479,5828,100,1.07,0.19,0.023,0.0041,2.31555,0.0242716
TIC158394902,5280,56.11,0.82,0.06,0.0137,0.001,1.80209,0.0220895
TIC158412890,5157,47.04,0.82,0.04,0.0099,0.0005,1.3002,0.02672
TIC158415898,5522,64.16,0.87,0.04,0.0157,0.0007,1.93419,0.0135214
TIC158416263,5421,57.75,0.86,0.04,0.0176,0.0008,2.19447,0.0141573
TIC158423850,5462,67.28,0.88,0.1,0.0145,0.0017,1.7679,0.0167908
TIC158426969,5554,200,0.8,0.34,0.007,0.003,0.936665,0.0323965
TIC158428960,6363,259,1.75,0.32,0.0152,0.0028,0.935277,0.0198654
TIC158432813,6477,103,1.46,0.06,0.0456,0.0019,3.35779,0.0253963
TIC158433884,6310,168,1.09,0.31,0.0077,0.0022,0.755071,0.0292302
TIC158434144,4880,126,0.62,0.03,0.0148,0.0007,2.57024,0.017996
TIC158484518,5102,71.96,0.77,0.04,0.0074,0.0004,1.03769,0.0304965
TIC158486560,5895,74.32,1.04,0.24,0.0096,0.0022,0.991756,0.0217116
TIC158486842,5743,73.65,0.98,0.15,0.007,0.0011,0.766115,0.0261919
TIC158487005,5913,200,0.98,0.46,0.0065,0.003,0.708406,0.0310286
TIC158487108,5816,122,1.08,0,0.0071,0.0002,0.704126,0.0233721
TIC158487658,5857,88.96,1.03,0.17,0.0114,0.0019,1.19446,0.0181495
TIC158487888,6077,136,1.29,0.24,0.0202,0.0038,1.68406,0.0204185
TIC158489110,3872,77,0.56,0.03,0.0267,0.0014,5.12871,0.0378551
TIC158489787,4870,49.22,0.74,0.03,0.0093,0.0004,1.35546,0.0281812
TIC158489841,3959,39.29,0.54,0.02,0.0171,0.0007,3.40576,0.0573637
TIC158489897,5162,64.88,0.78,0.04,0.0066,0.0004,0.911324,0.0342312
TIC158490928,5327,66.34,0.82,0.06,0.0066,0.0005,0.869616,0.029996
TIC158492133,5866,71.46,1.06,0.3,0.0046,0.0013,0.467086,0.027925
TIC158494327,5235,200,0.75,0.38,0.0116,0.0059,1.66183,0.0199975
TIC158494681,5322,65.68,0.85,0.07,0.0098,0.0008,1.23364,0.0254938
TIC158551360,4682,150.05,0.77,0.06,0.0287,0.0022,4.00705,0.0129326
TIC158551888,5852,100,1.46,0.27,0.0194,0.0036,1.42645,0.0177175
TIC158552258,3299,36.22,0.26,0.05,0.0189,0.0036,7.80885,0.0376299
TIC158553540,5711,74,1.35,0.22,0.031,0.0051,2.46657,0.0273984
TIC158554588,5495,50,0.92,0.01,0.03,0.0004,3.51026,0.0219335
TIC158555483,5471,115,1.12,0.01,0.0108,0.0002,1.03851,0.0182844
TIC158556108,6069,86.35,1.13,0.28,0.0071,0.0018,0.677238,0.0185975
TIC158559018,5998,88.2,1.15,0.32,0.0094,0.0026,0.882619,0.0173438
TIC158559417,5774,154,1.05,0.24,0.0119,0.0027,1.21959,0.0166752
TIC158559861,5717,71.36,0.98,0.22,0.004,0.0009,0.440291,0.0280024
TIC158561894,5888,113,1.15,0.22,0.0117,0.0022,1.09387,0.0168637
TIC158625100,5433,200,0.87,0.38,0.0104,0.0046,1.28931,0.0254719
TIC158625687,4858,161,0.71,0.08,0.0107,0.0012,1.62271,0.0264394
TIC158625761,6167,84.79,1.22,0.38,0.0123,0.0038,1.08441,0.0156294
TIC158625964,5827,94,0.89,0.04,0.0178,0.0008,2.14903,0.0256633
TIC158626833,5479,100,1.01,0.16,0.0141,0.0022,1.50571,0.0157589
TIC158630233,5519,61.23,0.89,0.11,0.0074,0.001,0.899772,0.0314856
TIC158630552,5904,68.91,1.09,0.36,0.0052,0.0017,0.514107,0.0249205
TIC158631520,3931,48.32,0.53,0.02,0.0173,0.0007,3.49969,0.0221407
TIC158631683,6002,200,1.02,0.44,0.005,0.0022,0.53068,0.0333621
TIC158633475,5570,64.32,0.94,0.16,0.0033,0.0006,0.375361,0.0291295
TIC158660363,6033,200,1.02,0.48,0.0094,0.0044,0.987735,0.0267238
TIC158660814,5490,43.22,0.88,0.02,0.0205,0.0005,2.50564,0.0136595
TIC158662352,4779,44.67,0.71,0.03,0.0114,0.0005,1.73079,0.0274101
TIC158662813,5545,73.2,0.86,0.09,0.0073,0.0008,0.911685,0.0340138
TIC158664221,3827,45.42,0.53,0.03,0.0143,0.0008,2.90756,0.0497661
TIC158664318,5938,200,0.9,0.43,0.0081,0.0039,0.969386,0.0253777
TIC158664331,5180,155,0.77,0.11,0.0099,0.0014,1.38477,0.0295292
TIC158664692,5544,73.22,0.89,0.11,0.0065,0.0008,0.784081,0.0229869
TIC158665380,5957,200,0.91,0.43,0.0059,0.0028,0.691346,0.0362794
TIC158665571,5966,186,0.96,0.3,0.007,0.0022,0.785182,0.0305799
TIC158722002,6377,131.93,1.39,0.61,0.0102,0.0045,0.790157,0.0157547
TIC158725179,6064,72.72,1.29,0.53,0.0078,0.0032,0.648825,0.0168251
TIC158725491,6090,120,1.26,0.24,0.0184,0.0035,1.57041,0.0185278
TIC158727691,5117,200,0.72,0.27,0.0091,0.0034,1.36527,0.0266064
TIC158729099,4990,58.43,0.75,0.03,0.0143,0.0006,2.04474,0.0202915
TIC158730203,6139,54.99,1.29,0.27,0.0146,0.0031,1.21915,0.0232535
TIC158730884,5635,68.42,0.93,0.15,0.0062,0.001,0.719055,0.0216012
TIC158731243,5281,63.29,0.82,0.05,0.0083,0.0005,1.09472,0.0261008
TIC158785055,5214,44.63,0.82,0.01,0.0193,0.0003,2.53294,0.0167506
TIC158789380,5106,100,0.8,0.05,0.017,0.0011,2.27854,0.0145299
TIC158792051,5100,200,0.77,0.21,0.0106,0.0029,1.47846,0.0306505
TIC158792743,5778,80.33,1,0.2,0.0092,0.0018,0.984289,0.0201707
TIC158794459,5771,101.71,0.98,0.17,0.0084,0.0015,0.919613,0.0266673
TIC158796434,5938,226,1.13,0.23,0.0151,0.0031,1.43873,0.0164008
TIC158837572,5479,80.63,0.85,0.09,0.0016,0.0013,0.2052235,0.1637127
TIC158838045,5786,100,1.49,0.25,0.0172,0.0029,1.24178,0.0169475
TIC158838278,5603,83.94,0.85,0.09,0.0066,0.0007,0.831461,0.027621
TIC158838923,5549,77.03,0.89,0.12,0.0103,0.0014,1.24051,0.0190745
TIC158839043,5591,150,0.86,0.22,0.0095,0.0024,1.19317,0.0217538
TIC158840828,5797,200,0.88,0.41,0.0134,0.0062,1.63167,0.0190198
TIC158842046,5778,67.42,1,0.09,0.0132,0.0012,1.41767,0.0149914
TIC158843824,5677,76.2,0.97,0.26,0.0067,0.0018,0.738946,0.0306594
TIC158843826,5517,80.26,0.9,0.1,0.011,0.0012,1.31727,0.0224489
TIC158844032,5749,153,0.86,0.19,0.0056,0.0013,0.703869,0.0387836
TIC158923465,5905,144,1.26,0.09,0.0111,0.0008,0.946821,0.018502
TIC158927791,5763,114.35,0.97,0.23,0.0158,0.0038,1.75296,0.0618683
TIC158931258,6160,90.96,1.23,0.42,0.0085,0.0029,0.742872,0.0198727
TIC158933249,5416,40.78,0.99,0.09,0.0082,0.0032,0.8898464,0.3415993
TIC158934047,5849,64.94,1.35,0.23,0.0057,0.0042,0.4514727,0.3259981
TIC158935283,5904,47,1.82,0.14,0.0135,0.0011,0.798185,0.0150642
TIC158936201,5961,102.59,1.09,0.26,0.0071,0.0017,0.69854,0.0263672
TIC158983401,6060,163,0.93,0.26,0.0109,0.003,1.25572,0.020968
TIC158983792,3934,38.91,0.54,0.02,0.0265,0.001,5.28582,0.0204806
TIC158984590,5956,69.05,1.19,0.18,0.0118,0.0018,1.06256,0.0167026
TIC158984916,5718,78.23,0.96,0.12,0.0099,0.0012,1.11012,0.018261
TIC158985675,5715,93.97,0.94,0.13,0.0085,0.0012,0.968282,0.0256375
TIC158986028,5453,66.21,0.86,0.07,0.0069,0.0007,0.863916,0.045293
TIC158986490,5556,77.89,0.91,0.05,0.0203,0.0011,2.40375,0.0137169
TIC158987296,5470,75.2,0.88,0.1,0.0071,0.0008,0.865136,0.0332776
TIC158989438,4372,59.14,0.67,0.02,0.0198,0.0016,3.1718277,0.2404726
TIC158989909,5253,67.75,0.82,0.05,0.0129,0.0008,1.69765,0.0212077
TIC158992508,5309,200,0.79,0.44,0.0092,0.0052,1.25859,0.0276851
TIC159043952,5825,88.38,1.03,0.29,0.0079,0.0022,0.822404,0.0239092
TIC159046962,6239,94,1.36,0.02,0.0529,0.0009,4.18363,0.0292008
TIC159050690,6129,80.64,1.24,0.42,0.0066,0.0023,0.572806,0.0267739
TIC159051188,4445,49.47,0.68,0.02,0.0149,0.0005,2.35234,0.0314486
TIC159096688,6154,62.02,1.23,0.13,0.0366,0.0039,3.20126,0.0216435
TIC159098652,5160,200,0.81,0.46,0.0097,0.0055,1.28649,0.0284079
TIC159099116,6064,200,1.01,0.5,0.0069,0.0034,0.733467,0.0252613
TIC159099716,5346,65.89,0.84,0.07,0.0075,0.0007,0.95477,0.0273963
TIC159102744,4709,46.37,0.72,0.02,0.0107,0.0004,1.59854,0.0370434
TIC159105397,4796,46.68,0.72,0.02,0.0139,0.0012,2.0695984,0.1734948
TIC159106207,5748,87.26,1.4,0.3,0.0147,0.0031,1.12557,0.0175506
TIC159171904,5272,200,0.85,0.41,0.0098,0.0047,1.23545,0.0238661
TIC159172027,5647,73.28,0.93,0.12,0.0072,0.001,0.829996,0.034177
TIC159174926,6090,100,1.33,0.24,0.0144,0.0026,1.16154,0.0225602
TIC159175206,5261,66.39,0.81,0.05,0.0059,0.0029,0.7789599,0.3773403
TIC159177232,5856,79,1.09,0.18,0.0054,0.0009,0.535578,0.0245709
TIC159178000,5884,144.58,1.02,0.17,0.0147,0.0025,1.5536,0.0153542
TIC159179987,6012,200,1.02,0.52,0.0088,0.0045,0.926393,0.0182249
TIC159180076,6005,92.89,1.12,0.24,0.0066,0.0014,0.634424,0.0272679
TIC159216808,6229,111.62,1.3,0.54,0.0158,0.0066,1.30615,0.0125089
TIC159217349,5099,81.84,0.76,0.04,0.0117,0.0006,1.66115,0.0197571
TIC159217436,5920,116,1.59,0.3,0.0165,0.0031,1.11334,0.0126702
TIC159221689,5516,149,0.83,0.19,0.0127,0.0029,1.64841,0.0169462
TIC159225155,5601,89.95,0.9,0.11,0.0059,0.0007,0.700983,0.0260698
TIC159225367,5461,58.65,0.86,0.02,0.0149,0.0004,1.86055,0.0142734
TIC159226052,5684,175,1.76,0.48,0.0237,0.0065,1.44631,0.0200685
TIC159226202,5753,91.93,0.96,0.14,0.0076,0.0011,0.848206,0.0242136
TIC159301148,5504,81.08,0.89,0.11,0.0073,0.0009,0.878043,0.0286128
TIC159304134,6214,186,1.08,0.35,0.0112,0.0036,1.1128,0.0263337
TIC159304532,5863,103.52,1.05,0.28,0.0076,0.002,0.778495,0.0295117
TIC159304741,4954,77.29,0.76,0.03,0.0165,0.0007,2.33949,0.0174476
TIC159307214,4751,64.17,0.71,0.03,0.01,0.0005,1.51859,0.0373162
TIC159375845,5838,122,1.52,0,0.0064,0.0004,0.454875,0.0255209
TIC159376971,3841,50,0.54,0.01,0.075,0.0014,14.9272,0.0237547
TIC159377404,5099,52.72,0.78,0.04,0.0112,0.0006,1.54618,0.0215971
TIC159379942,5001,68.25,0.77,0.04,0.0116,0.0006,1.61421,0.0237469
TIC159381747,6170,144.24,1.21,0.36,0.0093,0.0028,0.823311,0.0153006
TIC159384648,5744,144.47,0.96,0.16,0.0093,0.0016,1.03644,0.018004
TIC159386728,5877,74.15,1.15,0.13,0.0139,0.0016,1.29797,0.0156621
TIC159389232,3957,71,0.55,0.03,0.0189,0.001,3.69973,0.0193682
TIC159395366,5528,77.11,0.9,0.11,0.009,0.0011,1.07181,0.0227432
TIC159396818,6173,70.33,1.38,0.3,0.0147,0.0032,1.14897,0.0135041
TIC159397031,4339,39.28,0.62,0.02,0.0122,0.0004,2.11112,0.0265694
TIC159418353,4922,94,0.75,0.02,0.0981,0.0026,14.0592,0.0203034
TIC159439931,5965,147.55,1.12,0.27,0.0056,0.0014,0.53635,0.027458
TIC159440697,5723,76.28,0.94,0.04,0.0222,0.001,2.53923,0.0160221
TIC159441326,6209,106.61,1.34,0.58,0.0111,0.0048,0.888327,0.0187668
TIC159441621,5634,117.96,0.91,0.13,0.0185,0.0026,2.18456,0.0154703
TIC159442087,5706,130.9,0.93,0.11,0.0102,0.0012,1.1751,0.018168
TIC159444082,5078,100,0.81,0.05,0.0171,0.0011,2.27197,0.0161706
TIC159446957,4005,43.58,0.53,0.02,0.016,0.0006,3.2513,0.028287
TIC159449041,5306,77.49,0.83,0.06,0.0094,0.0007,1.21237,0.0244965
TIC159449495,5691,77,1.46,0.27,0.0302,0.0056,2.22676,0.0213714
TIC159450182,5660,114.11,0.93,0.13,0.0052,0.0008,0.599171,0.0347076
TIC159520040,6164,110,1.45,0.25,0.0224,0.0039,1.66169,0.0212354
TIC159521326,5696,100,1.2,0.22,0.0173,0.0032,1.54623,0.0179
TIC159522175,4204,200,0.52,0.05,0.0124,0.0012,2.56924,0.0259566
TIC159571280,6167,111,1.22,0.22,0.018,0.0033,1.58412,0.0229345
TIC159573063,4935,147,0.69,0.06,0.0082,0.0007,1.28138,0.0305134
TIC159573412,4904,70.02,0.74,0.03,0.011,0.0005,1.59688,0.0232117
TIC159574927,5816,99.93,1.02,0.23,0.0083,0.0019,0.879493,0.0232283
TIC159575346,5986,179,0.85,0.23,0.007,0.0019,0.887717,0.0249473
TIC159578257,5581,83.36,0.9,0.04,0.0156,0.0007,1.86266,0.014945
TIC159579593,5244,203,0.89,0.2,0.0157,0.0035,1.89763,0.0199124
TIC159580427,5660,133.1,0.93,0.12,0.0047,0.0006,0.537709,0.0277383
TIC159580535,6189,100,1.38,0.26,0.0142,0.0027,1.10585,0.0176397
TIC159580625,6058,87.66,1.31,0.21,0.0125,0.002,1.02991,0.0152641
TIC159580705,5499,87.6,1.24,0.05,0.0147,0.0007,1.27862,0.0228039
TIC159581434,5054,99.64,0.77,0.04,0.0112,0.0006,1.56982,0.0265973
TIC159581842,5248,98.84,0.81,0.05,0.0089,0.0006,1.17529,0.0234192
TIC159642189,5018,100,0.68,0.04,0.0079,0.0005,1.2504,0.0296767
TIC159642269,6388,115.33,1.45,0.69,0.0176,0.0084,1.30442,0.0134099
TIC159642390,5411,35.87,0.87,0,0.0154,0.0001,1.90887,0.0175093
TIC159643991,5808,88.65,1.01,0.2,0.0053,0.0011,0.562187,0.0262564
TIC159646433,4786,130,0.7,0.05,0.0114,0.0008,1.75581,0.0254174
TIC159646633,5643,104.98,0.94,0.16,0.0112,0.0019,1.27914,0.0229102
TIC159647213,5282,200,0.79,0.39,0.0122,0.006,1.65359,0.0221425
TIC159647219,5696,77,0.92,0.14,0.0081,0.0012,0.94394,0.0236282
TIC159647359,5431,162,0.72,0.12,0.0082,0.0014,1.22374,0.024095
TIC159649308,5256,184,0.83,0.13,0.0114,0.0018,1.47247,0.0593693
TIC159649503,6104,152.44,1.17,0.34,0.0097,0.0028,0.888221,0.0195283
TIC159649595,5036,200,0.83,0.49,0.011,0.0065,1.42408,0.0297724
TIC159652365,5513,100,0.94,0.14,0.0149,0.0022,1.7045,0.0165639
TIC159654016,5825,75,1.49,0.04,0.0451,0.0012,3.2537,0.0187531
TIC159715997,5718,119.29,0.97,0.17,0.0052,0.001,0.577611,0.0348593
TIC159716174,5744,200,0.89,0.43,0.0104,0.005,1.2528,0.0184161
TIC159721091,6022,54,1.85,0.05,0.0299,0.0009,1.73566,0.0255277
TIC159722311,5323,108.36,0.81,0.06,0.0068,0.0006,0.899368,0.0341705
TIC159723041,5486,70.55,0.89,0.1,0.0068,0.0008,0.823879,0.0395546
TIC159723305,5693,92.7,0.96,0.17,0.0059,0.0011,0.663178,0.0237732
TIC159725400,5983,110.01,1.07,0.2,0.0083,0.0016,0.835163,0.024125
TIC159726559,5626,200,0.81,0.46,0.0103,0.0059,1.37203,0.0216513
TIC159727092,5132,59.73,0.79,0.04,0.0128,0.0007,1.74373,0.0266994
TIC159728250,5872,70,1.15,0.18,0.0152,0.0024,1.41974,0.0141
TIC159759306,4632,100,0.67,0.03,0.0362,0.0016,5.81537,0.0215271
